stimulus,correct_answer,living_room_1,kitchen_1,living_room_2,bedroom_1,kitchen_2,bedroom_2,subject_id,task,block_total_cat,block_scene_cat,trial_block_cat,trial_total_cat,target_cat,category,cond_cat,conceptual,perceptual,n,typicality,ranked,typi_bin,correct_1,correct_2,cond_mem,trial_total_mem,cat_training_trials.thisRepN,cat_training_trials.thisTrialN,cat_training_trials.thisN,cat_training_trials.thisIndex,categorization_trials.thisRepN,categorization_trials.thisTrialN,categorization_trials.thisN,categorization_trials.thisIndex,kitchen_a_categorization_trials.thisRepN,kitchen_a_categorization_trials.thisTrialN,kitchen_a_categorization_trials.thisN,kitchen_a_categorization_trials.thisIndex,kitchen_b_categorization_trials.thisRepN,kitchen_b_categorization_trials.thisTrialN,kitchen_b_categorization_trials.thisN,kitchen_b_categorization_trials.thisIndex,living_a_categorization_trials.thisRepN,living_a_categorization_trials.thisTrialN,living_a_categorization_trials.thisN,living_a_categorization_trials.thisIndex,living_b_categorization_trials.thisRepN,living_b_categorization_trials.thisTrialN,living_b_categorization_trials.thisN,living_b_categorization_trials.thisIndex,bed_a_categorization_trials.thisRepN,bed_a_categorization_trials.thisTrialN,bed_a_categorization_trials.thisN,bed_a_categorization_trials.thisIndex,bed_b_categorization_trials.thisRepN,bed_b_categorization_trials.thisTrialN,bed_b_categorization_trials.thisN,bed_b_categorization_trials.thisIndex,memo_training_trials.thisRepN,memo_training_trials.thisTrialN,memo_training_trials.thisN,memo_training_trials.thisIndex,memotest_trials.thisRepN,memotest_trials.thisTrialN,memotest_trials.thisN,memotest_trials.thisIndex,thisRow.t,notes,consent_text.started,consent_text.stopped,cat_training_key.keys,cat_training_key.corr,cat_training_key.rt,cat_training_key.duration,living_a_text_2.started,living_a_block_no.started,living_picture_image.started,living_picture_resp.keys,living_picture_resp.corr,living_picture_resp.rt,living_picture_resp.duration,living_picture_image.stopped,kitchen_fix.started,kitchen_picture_resp.keys,kitchen_picture_resp.corr,kitchen_picture_resp.rt,kitchen_picture_resp.duration,living_b_text_2.started,living_b_block_no.started,bed_a_text_2.started,bed_a_block_no.started,bed_picture_image.started,bed_picture_resp.keys,bed_picture_resp.corr,bed_picture_resp.rt,bed_picture_resp.duration,bed_b_text_2.started,bed_b_block_no.started,memo_training_slider.response,memo_training_slider.rt,memotest_task_slider.response,memotest_task_slider.rt,vpcode,participant,Alter,Geschlecht,Haendigkeit,date,expName,psychopyVersion,frameRate,expStart,
stimuli/oelkjhgfcfghjk.jpg,f,,,,,,,,,,,,,,,,,,,,,,,,,,0,10,10,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.53693723000106,,,,j,0,0.49775185600083205,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,2024-04-05_16h41.55.092,V_1_memo_end,2023.2.3,119.48621167876702,2024-04-05 16h42.07.553099 +0200,
stimuli/asdfghjkloelkjhg.jpg,f,,,,,,,,,,,,,,,,,,,,,,,,,,0,11,11,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114.62972825399993,,,,j,0,0.3909835020022001,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,2024-04-05_16h41.55.092,V_1_memo_end,2023.2.3,119.48621167876702,2024-04-05 16h42.07.553099 +0200,
stimuli/ztfcvbnhg.jpg,f,,,,,,,,,,,,,,,,,,,,,,,,,,0,12,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117.72257356599948,,,,j,0,0.12414653199812165,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,2024-04-05_16h41.55.092,V_1_memo_end,2023.2.3,119.48621167876702,2024-04-05 16h42.07.553099 +0200,
stimuli/hhhh.jpg,f,,,,,,,,,,,,,,,,,,,,,,,,,,0,13,13,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.17883398000049,,,,j,0,0.11112893799872836,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,2024-04-05_16h41.55.092,V_1_memo_end,2023.2.3,119.48621167876702,2024-04-05 16h42.07.553099 +0200,
stimuli/erthjnbvcfg.jpg,f,,,,,,,,,,,,,,,,,,,,,,,,,,0,14,14,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123.54658579600073,,,,j,0,0.20590212999741198,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,2024-04-05_16h41.55.092,V_1_memo_end,2023.2.3,119.48621167876702,2024-04-05 16h42.07.553099 +0200,
stimuli/zgfdetz.jpg,j,,,,,,,,,,,,,,,,,,,,,,,,,,0,15,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126.08973717199842,,,,j,1,0.19376254099915968,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,2024-04-05_16h41.55.092,V_1_memo_end,2023.2.3,119.48621167876702,2024-04-05 16h42.07.553099 +0200,
stimuli/img_k0m56.jpg,f,1,0,0,0,0,0,1,categorization,1,1,1,1,living_room,living_room,target,76.0277777777778,49.9722222222222,36,63,168,high,,,,,,,,,0,0,0,0,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,130.9802870099993,,,,,,,,131.38818651600013,131.38818651600013,134.702776918999,j,0,0.11187653000160935,None,,,,,,,,,,,,,,,,,,,,,,,1,,,,2024-04-05_16h41.55.092,V_1_memo_end,2023.2.3,119.48621167876702,2024-04-05 16h42.07.553099 +0200,
stimuli/img_89dvt.jpg,f,1,0,0,0,0,0,1,categorization,1,1,2,2,living_room,living_room,target,79.9032258064516,63,31,71.4516129032258,212,high,,,,,,,,,0,0,0,0,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,135.1718606659997,,,,,,,,,,136.6120017630019,j,0,0.14899683000112418,None,,,,,,,,,,,,,,,,,,,,,,,1,,,,2024-04-05_16h41.55.092,V_1_memo_end,2023.2.3,119.48621167876702,2024-04-05 16h42.07.553099 +0200,
stimuli/img_zv0dq.jpg,j,1,0,0,0,0,0,1,categorization,1,1,3,3,living_room,bedroom,distractor,78,56.0625,32,67.03125,304,high,,,,,,,,,0,0,0,0,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,137.13624208400142,,,,,,,,,,138.82638319200123,j,1,0.10565382200002205,None,,,,,,,,,,,,,,,,,,,,,,,1,,,,2024-04-05_16h41.55.092,V_1_memo_end,2023.2.3,119.48621167876702,2024-04-05 16h42.07.553099 +0200,
stimuli/img_hfj08.jpg,f,1,0,0,0,0,0,1,categorization,1,1,4,4,living_room,living_room,target,86.5897435897436,60.6410256410256,39,73.6153846153846,225,high,,,,,,,,,0,0,0,0,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,139.29603837800096,,,,,,,,,,140.44654047099903,j,0,0.2304590300009295,None,,,,,,,,,,,,,,,,,,,,,,,1,,,,2024-04-05_16h41.55.092,V_1_memo_end,2023.2.3,119.48621167876702,2024-04-05 16h42.07.553099 +0200,
