thisRow.t,notes,participant,Alter,Geschlecht,Haendigkeit,date,expName,psychopyVersion,frameRate,expStart,
,,2,,,,2024-06-01_17h58.36.535,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-01 17h58.44.784112 +0200,
,,2,,,,2024-06-01_17h58.36.535,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-01 17h58.44.784112 +0200,
