stimulus,correct_answer,cat_training_trials.thisRepN,cat_training_trials.thisTrialN,cat_training_trials.thisN,cat_training_trials.thisIndex,thisRow.t,notes,instructions_cat_2.started,instructions_cat_2.stopped,cat_training_key.keys,cat_training_key.corr,cat_training_key.rt,cat_training_key.duration,participant,Alter,Geschlecht,Haendigkeit,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,1,,,,2024-06-01_16h28.50.295,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-01 16h28.57.332721 +0200,
,,,,,,,,,,,,,,1,,,,2024-06-01_16h28.50.295,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-01 16h28.57.332721 +0200,
,,,,,,,,,,,,,,1,,,,2024-06-01_16h28.50.295,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-01 16h28.57.332721 +0200,
,,,,,,,,,,,,,,1,,,,2024-06-01_16h28.50.295,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-01 16h28.57.332721 +0200,
,,,,,,,,,,,,,,1,,,,2024-06-01_16h28.50.295,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-01 16h28.57.332721 +0200,
,,,,,,,,74.91497275000074,76.59175524999955,,,,,1,,,,2024-06-01_16h28.50.295,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-01 16h28.57.332721 +0200,
,,,,,,,,,,,,,,1,,,,2024-06-01_16h28.50.295,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-01 16h28.57.332721 +0200,
stimuli/erthjnbvcfg.jpg,f,0,0,0,11,79.10091370800001,,,,j,0,81.87481937499979,None,1,,,,2024-06-01_16h28.50.295,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-01 16h28.57.332721 +0200,
stimuli/asdfghertghvgh.jpg,f,0,1,1,10,82.88956283299922,,,,j,0,85.02750695799841,None,1,,,,2024-06-01_16h28.50.295,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-01 16h28.57.332721 +0200,
stimuli/khfp.jpg,f,0,2,2,8,86.04534120799872,,,,j,0,88.30887066599826,None,1,,,,2024-06-01_16h28.50.295,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-01 16h28.57.332721 +0200,
stimuli/asdfghjkloelkjhg.jpg,f,0,3,3,4,89.31290854100007,,,,j,0,90.74036400000114,None,1,,,,2024-06-01_16h28.50.295,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-01 16h28.57.332721 +0200,
stimuli/uzgfvbnh.jpg,j,0,4,4,14,91.7458140000017,,,,j,1,93.14797683299912,None,1,,,,2024-06-01_16h28.50.295,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-01 16h28.57.332721 +0200,
stimuli/zgfdetz.jpg,j,0,5,5,15,94.16258716599987,,,,j,1,95.89851587500016,None,1,,,,2024-06-01_16h28.50.295,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-01 16h28.57.332721 +0200,
,,,,,,96.91360649999842,,,,,,,,,,,,,,,,,
