stimulus,correct_answer,correct_1,living_room_1,kitchen_1,living_room_2,bedroom_1,kitchen_2,bedroom_2,subject_id,task,block_total_cat,block_scene_cat,trial_block_cat,trial_total_cat,target_cat,category,cond_cat,conceptual,perceptual,n,typicality,ranked,typi_bin,cat_training_trials.thisRepN,cat_training_trials.thisTrialN,cat_training_trials.thisN,cat_training_trials.thisIndex,memo_training_trials.thisRepN,memo_training_trials.thisTrialN,memo_training_trials.thisN,memo_training_trials.thisIndex,categorization_trials.thisRepN,categorization_trials.thisTrialN,categorization_trials.thisN,categorization_trials.thisIndex,kitchen_a_categorization_trials.thisRepN,kitchen_a_categorization_trials.thisTrialN,kitchen_a_categorization_trials.thisN,kitchen_a_categorization_trials.thisIndex,kitchen_a_memotest.thisRepN,kitchen_a_memotest.thisTrialN,kitchen_a_memotest.thisN,kitchen_a_memotest.thisIndex,kitchen_b_categorization_trials.thisRepN,kitchen_b_categorization_trials.thisTrialN,kitchen_b_categorization_trials.thisN,kitchen_b_categorization_trials.thisIndex,kitchen_b_memotest.thisRepN,kitchen_b_memotest.thisTrialN,kitchen_b_memotest.thisN,kitchen_b_memotest.thisIndex,living_a_categorization_trials.thisRepN,living_a_categorization_trials.thisTrialN,living_a_categorization_trials.thisN,living_a_categorization_trials.thisIndex,thisRow.t,notes,instructions_cat_2.started,instructions_cat_2.stopped,cat_training_key.keys,cat_training_key.corr,cat_training_key.rt,cat_training_key.duration,memo_training_slider_key_resp.keys,memo_training_slider_key_resp.rt,memo_training_slider_key_resp.duration,living_a_text_2.started,living_a_block_no.started,living_picture_image.started,living_picture_resp.keys,living_picture_resp.corr,living_picture_resp.rt,living_picture_resp.duration,living_picture_image.stopped,participant,Alter,Geschlecht,Haendigkeit,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,2024-05-27_16h04.21.790,SceneCat_2023_2_key_resp,2024.1.1,None,2024-05-27 16h04.29.323257 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,2024-05-27_16h04.21.790,SceneCat_2023_2_key_resp,2024.1.1,None,2024-05-27 16h04.29.323257 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,2024-05-27_16h04.21.790,SceneCat_2023_2_key_resp,2024.1.1,None,2024-05-27 16h04.29.323257 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,2024-05-27_16h04.21.790,SceneCat_2023_2_key_resp,2024.1.1,None,2024-05-27 16h04.29.323257 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,2024-05-27_16h04.21.790,SceneCat_2023_2_key_resp,2024.1.1,None,2024-05-27 16h04.29.323257 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125.13685154201812,131.39072891700198,,,,,,,,,,,,,,,,1,,,,2024-05-27_16h04.21.790,SceneCat_2023_2_key_resp,2024.1.1,None,2024-05-27 16h04.29.323257 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,2024-05-27_16h04.21.790,SceneCat_2023_2_key_resp,2024.1.1,None,2024-05-27 16h04.29.323257 +0200,
stimuli/lkjhgfdxsdfghj.jpg,f,,,,,,,,,,,,,,,,,,,,,,,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133.90801433302113,,,,f,1,138.28145962502458,None,,,,,,,,,,,,1,,,,2024-05-27_16h04.21.790,SceneCat_2023_2_key_resp,2024.1.1,None,2024-05-27 16h04.29.323257 +0200,
stimuli/oelkjhgfcfghjk.jpg,f,,,,,,,,,,,,,,,,,,,,,,,0,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139.29561058300897,,,,f,1,142.05367650001426,None,,,,,,,,,,,,1,,,,2024-05-27_16h04.21.790,SceneCat_2023_2_key_resp,2024.1.1,None,2024-05-27 16h04.29.323257 +0200,
stimuli/gfvbnbg.jpg,j,,,,,,,,,,,,,,,,,,,,,,,0,2,2,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143.0691647080239,,,,f,0,146.38836145799723,None,,,,,,,,,,,,1,,,,2024-05-27_16h04.21.790,SceneCat_2023_2_key_resp,2024.1.1,None,2024-05-27 16h04.29.323257 +0200,
