stimulus,correct_answer,correct_1,cat_training_trials.thisRepN,cat_training_trials.thisTrialN,cat_training_trials.thisN,cat_training_trials.thisIndex,memo_training_trials.thisRepN,memo_training_trials.thisTrialN,memo_training_trials.thisN,memo_training_trials.thisIndex,categorization_trials.thisRepN,categorization_trials.thisTrialN,categorization_trials.thisN,categorization_trials.thisIndex,kitchens_1,living_rooms_1,bedrooms_1,living_rooms_2,bedrooms_2,kitchens_2,thisRow.t,notes,instructions_cat_2.started,instructions_cat_2.stopped,cat_training_key.keys,cat_training_key.corr,cat_training_key.rt,cat_training_key.duration,memo_training_slider_key_resp.keys,memo_training_slider_key_resp.rt,memo_training_slider_key_resp.duration,participant,Alter,Geschlecht,Haendigkeit,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,2024-06-01_17h34.10.364,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-01 17h34.25.541564 +0200,
stimuli/train_9.jpg,,1,,,,,0,0,0,8,,,,,,,,,,,145.0647901659977,,,,,,,,j,148.1635828330036,None,2,,,,2024-06-01_17h34.10.364,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-01 17h34.25.541564 +0200,
stimuli/train_6.jpg,,1,,,,,0,1,1,5,,,,,,,,,,,149.6586343750023,,,,,,,,j,152.1131375410041,None,2,,,,2024-06-01_17h34.10.364,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-01 17h34.25.541564 +0200,
stimuli/train_18.jpg,,3,,,,,0,2,2,13,,,,,,,,,,,153.62020883300283,,,,,,,,j,156.18930112499947,None,2,,,,2024-06-01_17h34.10.364,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-01 17h34.25.541564 +0200,
stimuli/train_3.jpg,,1,,,,,0,3,3,2,,,,,,,,,,,157.68700608299696,,,,,,,,j,160.6669265829987,None,2,,,,2024-06-01_17h34.10.364,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-01 17h34.25.541564 +0200,
stimuli/train_8.jpg,,1,,,,,0,4,4,7,,,,,,,,,,,162.1593856660038,,,,,,,,j,164.59880741599773,None,2,,,,2024-06-01_17h34.10.364,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-01 17h34.25.541564 +0200,
stimuli/train_19.jpg,,3,,,,,0,5,5,14,,,,,,,,,,,166.10938733300281,,,,,,,,j,168.00083320800331,None,2,,,,2024-06-01_17h34.10.364,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-01 17h34.25.541564 +0200,
stimuli/train_4.jpg,,1,,,,,0,6,6,3,,,,,,,,,,,169.50414358299895,,,,,,,,j,None,None,2,,,,2024-06-01_17h34.10.364,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-01 17h34.25.541564 +0200,
stimuli/train_20.jpg,,3,,,,,0,7,7,15,,,,,,,,,,,172.97100895800395,,,,,,,,j,175.03502762500284,None,2,,,,2024-06-01_17h34.10.364,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-01 17h34.25.541564 +0200,
stimuli/train_12.jpg,,1,,,,,0,8,8,11,,,,,,,,,,,176.5265057910001,,,,,,,,k,178.92632466599753,None,2,,,,2024-06-01_17h34.10.364,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-01 17h34.25.541564 +0200,
stimuli/train_11.jpg,,1,,,,,0,9,9,10,,,,,,,,,,,180.42117512500408,,,,,,,,k,182.55692545800412,None,2,,,,2024-06-01_17h34.10.364,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-01 17h34.25.541564 +0200,
stimuli/train_7.jpg,,1,,,,,0,10,10,6,,,,,,,,,,,184.05458533300407,,,,,,,,k,186.47816237500228,None,2,,,,2024-06-01_17h34.10.364,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-01 17h34.25.541564 +0200,
stimuli/train_17.jpg,,3,,,,,0,11,11,12,,,,,,,,,,,187.97149587499734,,,,,,,,k,191.19020762499713,None,2,,,,2024-06-01_17h34.10.364,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-01 17h34.25.541564 +0200,
stimuli/train_1.jpg,,1,,,,,0,12,12,0,,,,,,,,,,,192.68835695800226,,,,,,,,k,197.09785495800315,None,2,,,,2024-06-01_17h34.10.364,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-01 17h34.25.541564 +0200,
stimuli/train_2.jpg,,1,,,,,0,13,13,1,,,,,,,,,,,198.6049865410023,,,,,,,,k,200.46191299999919,None,2,,,,2024-06-01_17h34.10.364,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-01 17h34.25.541564 +0200,
stimuli/train_10.jpg,,1,,,,,0,14,14,9,,,,,,,,,,,201.96065100000123,,,,,,,,k,203.88462091600377,None,2,,,,2024-06-01_17h34.10.364,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-01 17h34.25.541564 +0200,
stimuli/train_5.jpg,,1,,,,,0,15,15,4,,,,,,,,,,,205.37717562499893,,,,,,,,j,208.25379220800096,None,2,,,,2024-06-01_17h34.10.364,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-01 17h34.25.541564 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,2024-06-01_17h34.10.364,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-01 17h34.25.541564 +0200,
