stimulus,correct_answer,correct_1,cat_training_trials.thisRepN,cat_training_trials.thisTrialN,cat_training_trials.thisN,cat_training_trials.thisIndex,memo_training_trials.thisRepN,memo_training_trials.thisTrialN,memo_training_trials.thisN,memo_training_trials.thisIndex,categorization_trials.thisRepN,categorization_trials.thisTrialN,categorization_trials.thisN,categorization_trials.thisIndex,bedrooms_1,living_rooms_1,kitchens_1,living_rooms_2,bedrooms_2,kitchens_2,kitchen_a_categorization_trials.thisRepN,kitchen_a_categorization_trials.thisTrialN,kitchen_a_categorization_trials.thisN,kitchen_a_categorization_trials.thisIndex,kitchen_a_memotest.thisRepN,kitchen_a_memotest.thisTrialN,kitchen_a_memotest.thisN,kitchen_a_memotest.thisIndex,kitchen_b_categorization_trials.thisRepN,kitchen_b_categorization_trials.thisTrialN,kitchen_b_categorization_trials.thisN,kitchen_b_categorization_trials.thisIndex,kitchen_b_memotest.thisRepN,kitchen_b_memotest.thisTrialN,kitchen_b_memotest.thisN,kitchen_b_memotest.thisIndex,living_a_categorization_trials.thisRepN,living_a_categorization_trials.thisTrialN,living_a_categorization_trials.thisN,living_a_categorization_trials.thisIndex,living_a_memotest.thisRepN,living_a_memotest.thisTrialN,living_a_memotest.thisN,living_a_memotest.thisIndex,living_b_categorization_trials.thisRepN,living_b_categorization_trials.thisTrialN,living_b_categorization_trials.thisN,living_b_categorization_trials.thisIndex,living_b_memotest.thisRepN,living_b_memotest.thisTrialN,living_b_memotest.thisN,living_b_memotest.thisIndex,bed_a_categorization_trials.thisRepN,bed_a_categorization_trials.thisTrialN,bed_a_categorization_trials.thisN,bed_a_categorization_trials.thisIndex,bed_a_memotest.thisRepN,bed_a_memotest.thisTrialN,bed_a_memotest.thisN,bed_a_memotest.thisIndex,bed_b_categorization_trials.thisRepN,bed_b_categorization_trials.thisTrialN,bed_b_categorization_trials.thisN,bed_b_categorization_trials.thisIndex,subject_id,task,block_total,block_scene,trial_block,trial_total,target_cat,category,cond_cat,cond_mem,conceptual,perceptual,typicality,n,p_typicality,p_conceptual,p_perceptual,r_typicality,r_conceptual,r_perceptual,thisRow.t,notes,instructions_cat_2.started,instructions_cat_2.stopped,cat_training_key.keys,cat_training_key.corr,cat_training_key.rt,cat_training_key.duration,memo_training_slider_key_resp.keys,memo_training_slider_key_resp.rt,memo_training_slider_key_resp.duration,bed_b_text_2.started,bed_b_block_no.started,bed_picture_image.started,bed_picture_image.stopped,participant,Alter,Geschlecht,Haendigkeit,date,expName,psychopyVersion,frameRate,expStart,
stimuli/train_10.jpg,j,,0,10,10,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.55945924999833,,,,f,0,79.89429187500355,None,,,,,,,,20,,,,2024-06-02_13h57.00.775,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-02 13h57.08.814673 +0200,
stimuli/train_2.jpg,j,,0,11,11,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.90954062499804,,,,f,0,83.83209100000386,None,,,,,,,,20,,,,2024-06-02_13h57.00.775,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-02 13h57.08.814673 +0200,
stimuli/train_12.jpg,j,,0,12,12,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.84332733300107,,,,f,0,86.5484119160028,None,,,,,,,,20,,,,2024-06-02_13h57.00.775,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-02 13h57.08.814673 +0200,
stimuli/train_11.jpg,j,,0,13,13,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.55989541600138,,,,f,0,90.28833475000283,None,,,,,,,,20,,,,2024-06-02_13h57.00.775,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-02 13h57.08.814673 +0200,
stimuli/train_5.jpg,j,,0,14,14,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.303157250004,,,,f,0,93.38306379099959,None,,,,,,,,20,,,,2024-06-02_13h57.00.775,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-02 13h57.08.814673 +0200,
stimuli/train_1.jpg,j,,0,15,15,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.39348695799708,,,,f,0,97.3616563329997,None,,,,,,,,20,,,,2024-06-02_13h57.00.775,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-02 13h57.08.814673 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,2024-06-02_13h57.00.775,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-02 13h57.08.814673 +0200,
stimuli/train_18.jpg,,3,,,,,0,0,0,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.99838458299928,,,,,,,,f,101.93376225000247,None,,,,,20,,,,2024-06-02_13h57.00.775,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-02 13h57.08.814673 +0200,
stimuli/train_8.jpg,,1,,,,,0,1,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.44453875000181,,,,,,,,f,107.32234533299925,None,,,,,20,,,,2024-06-02_13h57.00.775,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-02 13h57.08.814673 +0200,
stimuli/train_3.jpg,,1,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.8267760000017,,,,,,,,f,110.76245529099833,None,,,,,20,,,,2024-06-02_13h57.00.775,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-02 13h57.08.814673 +0200,
stimuli/train_5.jpg,,1,,,,,0,3,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.27637691600103,,,,,,,,f,114.376603040997,None,,,,,20,,,,2024-06-02_13h57.00.775,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-02 13h57.08.814673 +0200,
stimuli/train_20.jpg,,3,,,,,0,4,4,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.87763491600344,,,,,,,,f,117.5477363750033,None,,,,,20,,,,2024-06-02_13h57.00.775,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-02 13h57.08.814673 +0200,
stimuli/train_10.jpg,,1,,,,,0,5,5,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119.04409629099973,,,,,,,,f,120.9255019159973,None,,,,,20,,,,2024-06-02_13h57.00.775,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-02 13h57.08.814673 +0200,
stimuli/train_2.jpg,,1,,,,,0,6,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122.47723691599822,,,,,,,,f,124.66729620799742,None,,,,,20,,,,2024-06-02_13h57.00.775,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-02 13h57.08.814673 +0200,
stimuli/train_19.jpg,,3,,,,,0,7,7,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126.17830058300024,,,,,,,,f,128.19901075000234,None,,,,,20,,,,2024-06-02_13h57.00.775,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-02 13h57.08.814673 +0200,
stimuli/train_1.jpg,,1,,,,,0,8,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129.69368037499953,,,,,,,,f,131.00673837499926,None,,,,,20,,,,2024-06-02_13h57.00.775,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-02 13h57.08.814673 +0200,
stimuli/train_9.jpg,,1,,,,,0,9,9,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132.50496087499778,,,,,,,,f,134.90141108300304,None,,,,,20,,,,2024-06-02_13h57.00.775,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-02 13h57.08.814673 +0200,
stimuli/train_17.jpg,,3,,,,,0,10,10,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,136.41128025000216,,,,,,,,f,138.51688200000353,None,,,,,20,,,,2024-06-02_13h57.00.775,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-02 13h57.08.814673 +0200,
stimuli/train_11.jpg,,1,,,,,0,11,11,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140.0050462500003,,,,,,,,f,144.1941215830011,None,,,,,20,,,,2024-06-02_13h57.00.775,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-02 13h57.08.814673 +0200,
stimuli/train_4.jpg,,1,,,,,0,12,12,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145.69419787500374,,,,,,,,f,147.14101108300383,None,,,,,20,,,,2024-06-02_13h57.00.775,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-02 13h57.08.814673 +0200,
stimuli/train_6.jpg,,1,,,,,0,13,13,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148.64411349999864,,,,,,,,f,151.1638764579984,None,,,,,20,,,,2024-06-02_13h57.00.775,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-02 13h57.08.814673 +0200,
stimuli/train_7.jpg,,1,,,,,0,14,14,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152.66183812500094,,,,,,,,f,155.0852769999983,None,,,,,20,,,,2024-06-02_13h57.00.775,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-02 13h57.08.814673 +0200,
stimuli/train_12.jpg,,1,,,,,0,15,15,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,156.5963263750018,,,,,,,,f,160.61730983300367,None,,,,,20,,,,2024-06-02_13h57.00.775,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-02 13h57.08.814673 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,2024-06-02_13h57.00.775,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-02 13h57.08.814673 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172.6286860830005,,,,,,,,,,,172.90114954100136,172.90114954100136,176.19647079100105,176.9394317499973,,,,,,,,,,
