stimulus,correct_answer,cat_training_trials.thisRepN,cat_training_trials.thisTrialN,cat_training_trials.thisN,cat_training_trials.thisIndex,thisRow.t,notes,instructions_cat_2.started,instructions_cat_2.stopped,cat_training_key.keys,cat_training_key.corr,cat_training_key.rt,cat_training_key.duration,participant,Alter,Geschlecht,Haendigkeit,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,1,,,,2024-05-31_11h11.35.467,SceneCat_2023_2_key_resp,2024.1.1,None,2024-05-31 11h11.45.783318 +0200,
,,,,,,,,,,,,,,1,,,,2024-05-31_11h11.35.467,SceneCat_2023_2_key_resp,2024.1.1,None,2024-05-31 11h11.45.783318 +0200,
,,,,,,,,,,,,,,1,,,,2024-05-31_11h11.35.467,SceneCat_2023_2_key_resp,2024.1.1,None,2024-05-31 11h11.45.783318 +0200,
,,,,,,,,,,,,,,1,,,,2024-05-31_11h11.35.467,SceneCat_2023_2_key_resp,2024.1.1,None,2024-05-31 11h11.45.783318 +0200,
,,,,,,,,,,,,,,1,,,,2024-05-31_11h11.35.467,SceneCat_2023_2_key_resp,2024.1.1,None,2024-05-31 11h11.45.783318 +0200,
,,,,,,,,83.9821247079999,85.08016666599906,,,,,1,,,,2024-05-31_11h11.35.467,SceneCat_2023_2_key_resp,2024.1.1,None,2024-05-31 11h11.45.783318 +0200,
,,,,,,,,,,,,,,1,,,,2024-05-31_11h11.35.467,SceneCat_2023_2_key_resp,2024.1.1,None,2024-05-31 11h11.45.783318 +0200,
stimuli/lituryeyxcfvghjk.jpg,f,0,0,0,7,87.60390474999986,,,,j,0,89.81118962499932,None,1,,,,2024-05-31_11h11.35.467,SceneCat_2023_2_key_resp,2024.1.1,None,2024-05-31 11h11.45.783318 +0200,
stimuli/uhnnfhj.jpg,j,0,1,1,12,90.82723799999985,,,,j,1,92.76282029100003,None,1,,,,2024-05-31_11h11.35.467,SceneCat_2023_2_key_resp,2024.1.1,None,2024-05-31 11h11.45.783318 +0200,
stimuli/erthjnbvcfg.jpg,f,0,2,2,11,93.77800004100027,,,,j,0,96.3285715410002,None,1,,,,2024-05-31_11h11.35.467,SceneCat_2023_2_key_resp,2024.1.1,None,2024-05-31 11h11.45.783318 +0200,
stimuli/asdfghjkloelkjhg.jpg,f,0,3,3,4,97.33745637499851,,,,j,0,99.0231880829997,None,1,,,,2024-05-31_11h11.35.467,SceneCat_2023_2_key_resp,2024.1.1,None,2024-05-31 11h11.45.783318 +0200,
stimuli/khfp.jpg,f,0,4,4,8,100.02841991599962,,,,j,0,101.90618170800008,None,1,,,,2024-05-31_11h11.35.467,SceneCat_2023_2_key_resp,2024.1.1,None,2024-05-31 11h11.45.783318 +0200,
,,,,,,102.92093791600018,,,,,,,,,,,,,,,,,
