stimulus,correct_answer,correct_1,living_room_1,kitchen_1,living_room_2,bedroom_1,kitchen_2,bedroom_2,subject_id,task,block_total_cat,block_scene_cat,trial_block_cat,trial_total_cat,target_cat,category,cond_cat,conceptual,perceptual,n,typicality,ranked,typi_bin,cond_mem,trial_total_mem,cat_training_trials.thisRepN,cat_training_trials.thisTrialN,cat_training_trials.thisN,cat_training_trials.thisIndex,memo_training_trials.thisRepN,memo_training_trials.thisTrialN,memo_training_trials.thisN,memo_training_trials.thisIndex,categorization_trials.thisRepN,categorization_trials.thisTrialN,categorization_trials.thisN,categorization_trials.thisIndex,kitchen_a_categorization_trials.thisRepN,kitchen_a_categorization_trials.thisTrialN,kitchen_a_categorization_trials.thisN,kitchen_a_categorization_trials.thisIndex,kitchen_a_memotest.thisRepN,kitchen_a_memotest.thisTrialN,kitchen_a_memotest.thisN,kitchen_a_memotest.thisIndex,kitchen_b_categorization_trials.thisRepN,kitchen_b_categorization_trials.thisTrialN,kitchen_b_categorization_trials.thisN,kitchen_b_categorization_trials.thisIndex,kitchen_b_memotest.thisRepN,kitchen_b_memotest.thisTrialN,kitchen_b_memotest.thisN,kitchen_b_memotest.thisIndex,living_a_categorization_trials.thisRepN,living_a_categorization_trials.thisTrialN,living_a_categorization_trials.thisN,living_a_categorization_trials.thisIndex,living_a_memotest.thisRepN,living_a_memotest.thisTrialN,living_a_memotest.thisN,living_a_memotest.thisIndex,living_b_categorization_trials.thisRepN,living_b_categorization_trials.thisTrialN,living_b_categorization_trials.thisN,living_b_categorization_trials.thisIndex,living_b_memotest.thisRepN,living_b_memotest.thisTrialN,living_b_memotest.thisN,living_b_memotest.thisIndex,bed_a_categorization_trials.thisRepN,bed_a_categorization_trials.thisTrialN,bed_a_categorization_trials.thisN,bed_a_categorization_trials.thisIndex,bed_a_memotest.thisRepN,bed_a_memotest.thisTrialN,bed_a_memotest.thisN,bed_a_memotest.thisIndex,bed_b_categorization_trials.thisRepN,bed_b_categorization_trials.thisTrialN,bed_b_categorization_trials.thisN,bed_b_categorization_trials.thisIndex,bed_b_memotest.thisRepN,bed_b_memotest.thisTrialN,bed_b_memotest.thisN,bed_b_memotest.thisIndex,thisRow.t,notes,instructions_cat_2.started,instructions_cat_2.stopped,cat_training_key.keys,cat_training_key.corr,cat_training_key.rt,cat_training_key.duration,memo_training_slider_key_resp.keys,memo_training_slider_key_resp.rt,memo_training_slider_key_resp.duration,living_a_text_2.started,living_a_block_no.started,living_picture_image.started,living_picture_resp.keys,living_picture_resp.corr,living_picture_resp.rt,living_picture_resp.duration,living_picture_image.stopped,memotest_task_slider_key_resp.keys,memotest_task_slider_key_resp.rt,memotest_task_slider_key_resp.duration,kitchen_fix.started,kitchen_picture_resp.keys,kitchen_picture_resp.corr,kitchen_picture_resp.rt,kitchen_picture_resp.duration,living_b_text_2.started,living_b_block_no.started,bed_a_text_2.started,bed_a_block_no.started,bed_picture_image.started,bed_picture_image.stopped,bed_picture_resp.keys,bed_picture_resp.corr,bed_picture_resp.rt,bed_picture_resp.duration,bed_b_text_2.started,bed_b_block_no.started,vpcode,participant,Alter,Geschlecht,Haendigkeit,date,expName,psychopyVersion,frameRate,expStart,
stimuli/uzgfvbnh.jpg,j,,,,,,,,,,,,,,,,,,,,,,,,,0,3,3,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.5374616659974,,,,j,1,92.2287399580091,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,2024-05-20_15h59.38.842,SceneCat_2023_2_key_resp,2024.1.1,None,2024-05-20 15h59.45.525800 +0200,
stimuli/asdfghjkloelkjhg.jpg,f,,,,,,,,,,,,,,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.23765262500092,,,,j,0,95.36914199999592,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,2024-05-20_15h59.38.842,SceneCat_2023_2_key_resp,2024.1.1,None,2024-05-20 15h59.45.525800 +0200,
stimuli/gfvbnbg.jpg,j,,,,,,,,,,,,,,,,,,,,,,,,,0,5,5,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.38760387500224,,,,j,1,98.59942066599615,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,2024-05-20_15h59.38.842,SceneCat_2023_2_key_resp,2024.1.1,None,2024-05-20 15h59.45.525800 +0200,
stimuli/oelkjhgfcfghjk.jpg,f,,,,,,,,,,,,,,,,,,,,,,,,,0,6,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.62069066600816,,,,j,0,101.71690266599762,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,2024-05-20_15h59.38.842,SceneCat_2023_2_key_resp,2024.1.1,None,2024-05-20 15h59.45.525800 +0200,
stimuli/lkjhgfdxsdfghj.jpg,f,,,,,,,,,,,,,,,,,,,,,,,,,0,7,7,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.73113962500065,,,,j,0,104.17833925000741,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,2024-05-20_15h59.38.842,SceneCat_2023_2_key_resp,2024.1.1,None,2024-05-20 15h59.45.525800 +0200,
stimuli/lituryeyxcfvghjk.jpg,f,,,,,,,,,,,,,,,,,,,,,,,,,0,8,8,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.18784466599755,,,,j,0,107.0504057079961,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,2024-05-20_15h59.38.842,SceneCat_2023_2_key_resp,2024.1.1,None,2024-05-20 15h59.45.525800 +0200,
stimuli/fvbjgv.jpg,f,,,,,,,,,,,,,,,,,,,,,,,,,0,9,9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.05452929099556,,,,j,0,109.68354500000714,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,2024-05-20_15h59.38.842,SceneCat_2023_2_key_resp,2024.1.1,None,2024-05-20 15h59.45.525800 +0200,
stimuli/erthjnbvcfg.jpg,f,,,,,,,,,,,,,,,,,,,,,,,,,0,10,10,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.68831116599904,,,,j,0,112.36648295800842,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,2024-05-20_15h59.38.842,SceneCat_2023_2_key_resp,2024.1.1,None,2024-05-20 15h59.45.525800 +0200,
stimuli/zgfdetz.jpg,j,,,,,,,,,,,,,,,,,,,,,,,,,0,11,11,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.37134004100517,,,,j,1,115.23285237500386,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,2024-05-20_15h59.38.842,SceneCat_2023_2_key_resp,2024.1.1,None,2024-05-20 15h59.45.525800 +0200,
stimuli/ztfcvbnhg.jpg,f,,,,,,,,,,,,,,,,,,,,,,,,,0,12,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116.3381614999962,,,,j,0,118.49515541600704,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,2024-05-20_15h59.38.842,SceneCat_2023_2_key_resp,2024.1.1,None,2024-05-20 15h59.45.525800 +0200,
