stimulus,correct_answer,cat_training_trials.thisRepN,cat_training_trials.thisTrialN,cat_training_trials.thisN,cat_training_trials.thisIndex,thisRow.t,notes,instructions_cat_2.started,instructions_cat_2.stopped,cat_training_key.keys,cat_training_key.corr,cat_training_key.rt,cat_training_key.duration,participant,Alter,Geschlecht,Haendigkeit,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,2,,,,2024-06-01_16h35.53.518,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-01 16h36.00.260981 +0200,
,,,,,,,,,,,,,,2,,,,2024-06-01_16h35.53.518,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-01 16h36.00.260981 +0200,
,,,,,,,,,,,,,,2,,,,2024-06-01_16h35.53.518,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-01 16h36.00.260981 +0200,
,,,,,,,,,,,,,,2,,,,2024-06-01_16h35.53.518,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-01 16h36.00.260981 +0200,
,,,,,,,,,,,,,,2,,,,2024-06-01_16h35.53.518,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-01 16h36.00.260981 +0200,
,,,,,,,,77.4400912500023,78.49969095900087,,,,,2,,,,2024-06-01_16h35.53.518,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-01 16h36.00.260981 +0200,
,,,,,,,,,,,,,,2,,,,2024-06-01_16h35.53.518,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-01 16h36.00.260981 +0200,
stimuli/lituryeyxcfvghjk.jpg,f,0,0,0,7,81.00349566699879,,,,j,0,82.84988779199921,None,2,,,,2024-06-01_16h35.53.518,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-01 16h36.00.260981 +0200,
stimuli/hhhh.jpg,f,0,1,1,9,83.86464799999885,,,,j,0,86.93980483400082,None,2,,,,2024-06-01_16h35.53.518,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-01 16h36.00.260981 +0200,
stimuli/fvbjgv.jpg,f,0,2,2,1,87.94860700000208,,,,j,0,90.37032029200054,None,2,,,,2024-06-01_16h35.53.518,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-01 16h36.00.260981 +0200,
stimuli/oelkjhgfcfghjk.jpg,f,0,3,3,2,91.37099916700026,,,,j,0,95.72403095900154,None,2,,,,2024-06-01_16h35.53.518,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-01 16h36.00.260981 +0200,
stimuli/zgfdetz.jpg,j,0,4,4,15,96.73875383400082,,,,j,1,98.99036462500226,None,2,,,,2024-06-01_16h35.53.518,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-01 16h36.00.260981 +0200,
stimuli/khfp.jpg,f,0,5,5,8,100.00542312499965,,,,j,0,101.8702242090003,None,2,,,,2024-06-01_16h35.53.518,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-01 16h36.00.260981 +0200,
stimuli/lkjhgfdxsdfghj.jpg,f,0,6,6,3,102.88205595900217,,,,j,0,104.57951545900141,None,2,,,,2024-06-01_16h35.53.518,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-01 16h36.00.260981 +0200,
stimuli/erthjnbvcfg.jpg,f,0,7,7,11,105.58935304199986,,,,j,0,107.76331237500199,None,2,,,,2024-06-01_16h35.53.518,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-01 16h36.00.260981 +0200,
stimuli/asdfghertghvgh.jpg,f,0,8,8,10,108.77230154200151,,,,j,0,110.81298020900067,None,2,,,,2024-06-01_16h35.53.518,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-01 16h36.00.260981 +0200,
stimuli/uzgfvbnh.jpg,j,0,9,9,14,111.82256224999946,,,,j,1,113.56910029199935,None,2,,,,2024-06-01_16h35.53.518,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-01 16h36.00.260981 +0200,
stimuli/asdfghjkloelkjhg.jpg,f,0,10,10,4,114.57248766699922,,,,j,0,116.80084391700075,None,2,,,,2024-06-01_16h35.53.518,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-01 16h36.00.260981 +0200,
stimuli/ztfcvbnhg.jpg,f,0,11,11,0,117.80584937499953,,,,j,0,120.00220541700037,None,2,,,,2024-06-01_16h35.53.518,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-01 16h36.00.260981 +0200,
,,,,,,121.0063732919989,,,,,,,,,,,,,,,,,
