stimulus,correct_answer,correct_1,cat_training_trials.thisRepN,cat_training_trials.thisTrialN,cat_training_trials.thisN,cat_training_trials.thisIndex,memo_training_trials.thisRepN,memo_training_trials.thisTrialN,memo_training_trials.thisN,memo_training_trials.thisIndex,thisRow.t,notes,instructions_cat_2.started,instructions_cat_2.stopped,cat_training_key.keys,cat_training_key.corr,cat_training_key.rt,cat_training_key.duration,memo_training_slider_key_resp.keys,memo_training_slider_key_resp.rt,memo_training_slider_key_resp.duration,participant,Alter,Geschlecht,Haendigkeit,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,20,,,,2024-06-02_13h52.02.413,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-02 13h52.08.891680 +0200,
,,,,,,,,,,,,,,,,,,,,,,20,,,,2024-06-02_13h52.02.413,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-02 13h52.08.891680 +0200,
,,,,,,,,,,,,,,,,,,,,,,20,,,,2024-06-02_13h52.02.413,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-02 13h52.08.891680 +0200,
,,,,,,,,,,,,,,,,,,,,,,20,,,,2024-06-02_13h52.02.413,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-02 13h52.08.891680 +0200,
,,,,,,,,,,,,,,,,,,,,,,20,,,,2024-06-02_13h52.02.413,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-02 13h52.08.891680 +0200,
,,,,,,,,,,,,,35.14505333299894,35.9294968749964,,,,,,,,20,,,,2024-06-02_13h52.02.413,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-02 13h52.08.891680 +0200,
,,,,,,,,,,,,,,,,,,,,,,20,,,,2024-06-02_13h52.02.413,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-02 13h52.08.891680 +0200,
stimuli/train_7.jpg,j,,0,0,0,6,,,,,38.432265124996775,,,,f,0,49.805511291000585,None,,,,20,,,,2024-06-02_13h52.02.413,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-02 13h52.08.891680 +0200,
stimuli/train_8.jpg,j,,0,1,1,7,,,,,50.81715508299385,,,,f,0,52.730098249994626,None,,,,20,,,,2024-06-02_13h52.02.413,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-02 13h52.08.891680 +0200,
stimuli/train_12.jpg,j,,0,2,2,11,,,,,53.734153207995405,,,,f,0,55.151936915994156,None,,,,20,,,,2024-06-02_13h52.02.413,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-02 13h52.08.891680 +0200,
stimuli/train_2.jpg,j,,0,3,3,1,,,,,56.23439208299533,,,,f,0,62.02039524999418,None,,,,20,,,,2024-06-02_13h52.02.413,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-02 13h52.08.891680 +0200,
stimuli/train_6.jpg,j,,0,4,4,5,,,,,63.03475958299532,,,,f,0,69.9719320410004,None,,,,20,,,,2024-06-02_13h52.02.413,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-02 13h52.08.891680 +0200,
stimuli/train_5.jpg,j,,0,5,5,4,,,,,70.98486908299674,,,,f,0,74.33792104099848,None,,,,20,,,,2024-06-02_13h52.02.413,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-02 13h52.08.891680 +0200,
stimuli/train_4.jpg,j,,0,6,6,3,,,,,75.35164475000056,,,,f,0,78.8525948749957,None,,,,20,,,,2024-06-02_13h52.02.413,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-02 13h52.08.891680 +0200,
stimuli/train_15.jpg,f,,0,7,7,14,,,,,79.86837529100012,,,,f,1,82.09658474999742,None,,,,20,,,,2024-06-02_13h52.02.413,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-02 13h52.08.891680 +0200,
stimuli/train_16.jpg,f,,0,8,8,15,,,,,83.11169804100064,,,,f,1,84.64928604099987,None,,,,20,,,,2024-06-02_13h52.02.413,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-02 13h52.08.891680 +0200,
stimuli/train_11.jpg,j,,0,9,9,10,,,,,85.65216474999761,,,,f,0,88.53064216599887,None,,,,20,,,,2024-06-02_13h52.02.413,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-02 13h52.08.891680 +0200,
stimuli/train_13.jpg,f,,0,10,10,12,,,,,89.54587520799396,,,,f,1,91.83249074999912,None,,,,20,,,,2024-06-02_13h52.02.413,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-02 13h52.08.891680 +0200,
stimuli/train_10.jpg,j,,0,11,11,9,,,,,92.83567995799967,,,,f,0,96.15263458299887,None,,,,20,,,,2024-06-02_13h52.02.413,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-02 13h52.08.891680 +0200,
stimuli/train_3.jpg,j,,0,12,12,2,,,,,97.16885149999871,,,,f,0,98.55118933299673,None,,,,20,,,,2024-06-02_13h52.02.413,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-02 13h52.08.891680 +0200,
stimuli/train_9.jpg,j,,0,13,13,8,,,,,99.78588570799911,,,,f,0,102.78081399999792,None,,,,20,,,,2024-06-02_13h52.02.413,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-02 13h52.08.891680 +0200,
stimuli/train_14.jpg,f,,0,14,14,13,,,,,103.78609941600007,,,,f,1,105.77202254099393,None,,,,20,,,,2024-06-02_13h52.02.413,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-02 13h52.08.891680 +0200,
stimuli/train_1.jpg,j,,0,15,15,0,,,,,106.78653499999928,,,,f,0,108.97603695799626,None,,,,20,,,,2024-06-02_13h52.02.413,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-02 13h52.08.891680 +0200,
,,,,,,,,,,,,,,,,,,,,,,20,,,,2024-06-02_13h52.02.413,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-02 13h52.08.891680 +0200,
