stimulus,correct_answer,cat_training_trials.thisRepN,cat_training_trials.thisTrialN,cat_training_trials.thisN,cat_training_trials.thisIndex,thisRow.t,notes,instructions_cat_2.started,instructions_cat_2.stopped,cat_training_key.keys,cat_training_key.corr,cat_training_key.rt,cat_training_key.duration,participant,Alter,Geschlecht,Haendigkeit,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,1,1,1,1,2024-06-22_14h03.12.400,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-22 14h03.23.489637 +0200,
,,,,,,,,,,,,,,1,1,1,1,2024-06-22_14h03.12.400,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-22 14h03.23.489637 +0200,
,,,,,,,,,,,,,,1,1,1,1,2024-06-22_14h03.12.400,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-22 14h03.23.489637 +0200,
,,,,,,,,,,,,,,1,1,1,1,2024-06-22_14h03.12.400,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-22 14h03.23.489637 +0200,
,,,,,,,,,,,,,,1,1,1,1,2024-06-22_14h03.12.400,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-22 14h03.23.489637 +0200,
,,,,,,,,10.052212750015315,11.387827292026486,,,,,1,1,1,1,2024-06-22_14h03.12.400,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-22 14h03.23.489637 +0200,
,,,,,,,,,,,,,,1,1,1,1,2024-06-22_14h03.12.400,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-22 14h03.23.489637 +0200,
stimuli/train_7.jpg,j,0,0,0,6,13.909199959016405,,,,f,0,37.37164608400781,None,1,1,1,1,2024-06-22_14h03.12.400,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-22 14h03.23.489637 +0200,
stimuli/train_x7.jpg,f,0,1,1,22,38.38424154202221,,,,f,1,44.24257204198511,None,1,1,1,1,2024-06-22_14h03.12.400,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-22 14h03.23.489637 +0200,
stimuli/train_x9.jpg,f,0,2,2,24,45.251468917005695,,,,f,1,53.07365929201478,None,1,1,1,1,2024-06-22_14h03.12.400,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-22 14h03.23.489637 +0200,
stimuli/train_9.jpg,j,0,3,3,8,54.08476883399999,,,,f,0,60.73186370899202,None,1,1,1,1,2024-06-22_14h03.12.400,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-22 14h03.23.489637 +0200,
stimuli/train_13.jpg,f,0,4,4,12,61.735267625015695,,,,f,1,67.42161499999929,None,1,1,1,1,2024-06-22_14h03.12.400,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-22 14h03.23.489637 +0200,
,,,,,,68.43547533400124,,,,,,,,,,,,,,,,,
