stimulus,correct_answer,correct_1,kitchens_1,kitchens_2,bedrooms_1,bedrooms_2,living_rooms_1,living_rooms_2,subject_id,task,block_total,block_scene,trial_block,trial_total,target_cat,category,cond_cat,cond_mem,conceptual,perceptual,typicality,n,p_typicality,p_conceptual,p_perceptual,r_typicality,r_conceptual,r_perceptual,cat_training_trials.thisRepN,cat_training_trials.thisTrialN,cat_training_trials.thisN,cat_training_trials.thisIndex,memo_training_trials.thisRepN,memo_training_trials.thisTrialN,memo_training_trials.thisN,memo_training_trials.thisIndex,categorization_trials.thisRepN,categorization_trials.thisTrialN,categorization_trials.thisN,categorization_trials.thisIndex,kitchen_a_categorization_trials.thisRepN,kitchen_a_categorization_trials.thisTrialN,kitchen_a_categorization_trials.thisN,kitchen_a_categorization_trials.thisIndex,kitchen_a_memotest.thisRepN,kitchen_a_memotest.thisTrialN,kitchen_a_memotest.thisN,kitchen_a_memotest.thisIndex,kitchen_b_categorization_trials.thisRepN,kitchen_b_categorization_trials.thisTrialN,kitchen_b_categorization_trials.thisN,kitchen_b_categorization_trials.thisIndex,kitchen_b_memotest.thisRepN,kitchen_b_memotest.thisTrialN,kitchen_b_memotest.thisN,kitchen_b_memotest.thisIndex,living_a_categorization_trials.thisRepN,living_a_categorization_trials.thisTrialN,living_a_categorization_trials.thisN,living_a_categorization_trials.thisIndex,living_a_memotest.thisRepN,living_a_memotest.thisTrialN,living_a_memotest.thisN,living_a_memotest.thisIndex,living_b_categorization_trials.thisRepN,living_b_categorization_trials.thisTrialN,living_b_categorization_trials.thisN,living_b_categorization_trials.thisIndex,living_b_memotest.thisRepN,living_b_memotest.thisTrialN,living_b_memotest.thisN,living_b_memotest.thisIndex,bed_a_categorization_trials.thisRepN,bed_a_categorization_trials.thisTrialN,bed_a_categorization_trials.thisN,bed_a_categorization_trials.thisIndex,bed_a_memotest.thisRepN,bed_a_memotest.thisTrialN,bed_a_memotest.thisN,bed_a_memotest.thisIndex,bed_b_categorization_trials.thisRepN,bed_b_categorization_trials.thisTrialN,bed_b_categorization_trials.thisN,bed_b_categorization_trials.thisIndex,bed_b_memotest.thisRepN,bed_b_memotest.thisTrialN,bed_b_memotest.thisN,bed_b_memotest.thisIndex,thisRow.t,notes,instructions_cat_2.started,instructions_cat_2.stopped,cat_training_key.keys,cat_training_key.corr,cat_training_key.rt,cat_training_key.duration,memo_training_slider_key_resp.keys,memo_training_slider_key_resp.rt,memo_training_slider_key_resp.duration,bed_b_text_2.started,bed_b_block_no.started,bed_picture_image.started,bed_picture_image.stopped,bed_picture_resp.keys,bed_picture_resp.corr,bed_picture_resp.rt,bed_picture_resp.duration,memotest_task_slider_key_resp.keys,memotest_task_slider_key_resp.rt,memotest_task_slider_key_resp.duration,participant,Alter,Geschlecht,Haendigkeit,date,expName,psychopyVersion,frameRate,expStart,
stimuli/train_9.jpg,j,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,3,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.148077499994542,,,,j,1,15.879185332974885,None,,,,,,,,,,,,,,,1,,,,2024-06-22_15h28.29.238,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-22 15h28.36.290939 +0200,
stimuli/train_6.jpg,j,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.905487167008687,,,,j,1,17.81701262498973,None,,,,,,,,,,,,,,,1,,,,2024-06-22_15h28.29.238,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-22 15h28.36.290939 +0200,
stimuli/train_5.jpg,j,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.864974374999292,,,,j,1,None,None,,,,,,,,,,,,,,,1,,,,2024-06-22_15h28.29.238,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-22 15h28.36.290939 +0200,
stimuli/train_1.jpg,j,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,6,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.322646332962904,,,,j,1,21.267604707973078,None,,,,,,,,,,,,,,,1,,,,2024-06-22_15h28.29.238,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-22 15h28.36.290939 +0200,
stimuli/train_3.jpg,j,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,7,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.272566917003132,,,,j,1,None,None,,,,,,,,,,,,,,,1,,,,2024-06-22_15h28.29.238,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-22 15h28.36.290939 +0200,
stimuli/train_2.jpg,j,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,8,8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.655790957971476,,,,j,1,23.940547208010685,None,,,,,,,,,,,,,,,1,,,,2024-06-22_15h28.29.238,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-22 15h28.36.290939 +0200,
stimuli/train_x5.jpg,f,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,9,9,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.981835666985717,,,,j,0,25.80470320797758,None,,,,,,,,,,,,,,,1,,,,2024-06-22_15h28.29.238,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-22 15h28.36.290939 +0200,
stimuli/train_10.jpg,j,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,10,10,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.848359833005816,,,,j,1,27.567905457981396,None,,,,,,,,,,,,,,,1,,,,2024-06-22_15h28.29.238,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-22 15h28.36.290939 +0200,
stimuli/train_x9.jpg,f,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,11,11,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.58165262499824,,,,j,0,29.357165707973763,None,,,,,,,,,,,,,,,1,,,,2024-06-22_15h28.29.238,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-22 15h28.36.290939 +0200,
stimuli/train_14.jpg,f,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,12,12,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.37313520797761,,,,j,0,33.0932927079848,None,,,,,,,,,,,,,,,1,,,,2024-06-22_15h28.29.238,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-22 15h28.36.290939 +0200,
stimuli/train_13.jpg,f,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,13,13,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.106077792006545,,,,j,0,35.51736950001214,None,,,,,,,,,,,,,,,1,,,,2024-06-22_15h28.29.238,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-22 15h28.36.290939 +0200,
stimuli/train_11.jpg,j,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,14,14,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.52374691696605,,,,j,1,37.93004937499063,None,,,,,,,,,,,,,,,1,,,,2024-06-22_15h28.29.238,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-22 15h28.36.290939 +0200,
stimuli/train_x2.jpg,f,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,15,15,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.940130041970406,,,,j,0,40.450653874955606,None,,,,,,,,,,,,,,,1,,,,2024-06-22_15h28.29.238,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-22 15h28.36.290939 +0200,
stimuli/train_4.jpg,j,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,16,16,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.465644916985184,,,,j,1,46.49529574997723,None,,,,,,,,,,,,,,,1,,,,2024-06-22_15h28.29.238,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-22 15h28.36.290939 +0200,
stimuli/train_x6.jpg,f,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,17,17,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.50710008299211,,,,j,0,48.66347112500807,None,,,,,,,,,,,,,,,1,,,,2024-06-22_15h28.29.238,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-22 15h28.36.290939 +0200,
stimuli/train_16.jpg,f,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,18,18,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.674007041961886,,,,j,0,50.3343312079669,None,,,,,,,,,,,,,,,1,,,,2024-06-22_15h28.29.238,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-22 15h28.36.290939 +0200,
stimuli/train_7.jpg,j,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,19,19,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.34035487496294,,,,j,1,51.59076087496942,None,,,,,,,,,,,,,,,1,,,,2024-06-22_15h28.29.238,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-22 15h28.36.290939 +0200,
stimuli/train_x1.jpg,f,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,20,20,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.60784866695758,,,,j,0,59.13091795798391,None,,,,,,,,,,,,,,,1,,,,2024-06-22_15h28.29.238,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-22 15h28.36.290939 +0200,
stimuli/train_12.jpg,j,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,21,21,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.1408719579922,,,,j,1,60.33136045798892,None,,,,,,,,,,,,,,,1,,,,2024-06-22_15h28.29.238,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-22 15h28.36.290939 +0200,
stimuli/train_x8.jpg,f,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,22,22,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.373811208002735,,,,j,0,61.93931387498742,None,,,,,,,,,,,,,,,1,,,,2024-06-22_15h28.29.238,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-22 15h28.36.290939 +0200,
stimuli/train_x7.jpg,f,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,23,23,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.94975508295465,,,,j,0,63.718707166961394,None,,,,,,,,,,,,,,,1,,,,2024-06-22_15h28.29.238,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-22 15h28.36.290939 +0200,
stimuli/train_x4.jpg,f,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,24,24,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.74069449998206,,,,j,0,65.69655250001233,None,,,,,,,,,,,,,,,1,,,,2024-06-22_15h28.29.238,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-22 15h28.36.290939 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,2024-06-22_15h28.29.238,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-22 15h28.36.290939 +0200,
stimuli/train_18.jpg,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.3652696670033,,,,,,,,j,72.28880016697804,None,,,,,,,,,,,,1,,,,2024-06-22_15h28.29.238,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-22 15h28.36.290939 +0200,
stimuli/train_9.jpg,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.80024145799689,,,,,,,,j,73.5074100419879,None,,,,,,,,,,,,1,,,,2024-06-22_15h28.29.238,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-22 15h28.36.290939 +0200,
stimuli/train_5.jpg,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.02332199999364,,,,,,,,j,75.27835458295885,None,,,,,,,,,,,,1,,,,2024-06-22_15h28.29.238,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-22 15h28.36.290939 +0200,
stimuli/train_17.jpg,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,3,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.7901522499742,,,,,,,,j,76.6348492919933,None,,,,,,,,,,,,1,,,,2024-06-22_15h28.29.238,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-22 15h28.36.290939 +0200,
stimuli/train_3.jpg,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.15054870798485,,,,,,,,j,78.1410569169675,None,,,,,,,,,,,,1,,,,2024-06-22_15h28.29.238,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-22 15h28.36.290939 +0200,
stimuli/train_11.jpg,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5,5,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.65672554197954,,,,,,,,j,79.4188162079663,None,,,,,,,,,,,,1,,,,2024-06-22_15h28.29.238,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-22 15h28.36.290939 +0200,
stimuli/train_12.jpg,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,6,6,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.92330141697312,,,,,,,,j,80.71916824998334,None,,,,,,,,,,,,1,,,,2024-06-22_15h28.29.238,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-22 15h28.36.290939 +0200,
stimuli/train_19.jpg,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,7,7,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.23412445798749,,,,,,,,j,82.40307441697223,None,,,,,,,,,,,,1,,,,2024-06-22_15h28.29.238,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-22 15h28.36.290939 +0200,
stimuli/train_20.jpg,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,8,8,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.91710620798403,,,,,,,,j,83.67929491697578,None,,,,,,,,,,,,1,,,,2024-06-22_15h28.29.238,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-22 15h28.36.290939 +0200,
stimuli/train_8.jpg,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,9,9,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.19069445796777,,,,,,,,j,86.54702604201157,None,,,,,,,,,,,,1,,,,2024-06-22_15h28.29.238,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-22 15h28.36.290939 +0200,
stimuli/train_1.jpg,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,10,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.06743416696554,,,,,,,,j,88.6826822499861,None,,,,,,,,,,,,1,,,,2024-06-22_15h28.29.238,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-22 15h28.36.290939 +0200,
stimuli/train_6.jpg,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,11,11,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.18999895796878,,,,,,,,j,91.9428761669551,None,,,,,,,,,,,,1,,,,2024-06-22_15h28.29.238,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-22 15h28.36.290939 +0200,
stimuli/train_2.jpg,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,12,12,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.4580895419931,,,,,,,,j,None,None,,,,,,,,,,,,1,,,,2024-06-22_15h28.29.238,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-22 15h28.36.290939 +0200,
stimuli/train_7.jpg,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,13,13,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.49011195800267,,,,,,,,j,96.2626402080059,None,,,,,,,,,,,,1,,,,2024-06-22_15h28.29.238,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-22 15h28.36.290939 +0200,
stimuli/train_10.jpg,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,14,14,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.77441670797998,,,,,,,,j,101.67655437497888,None,,,,,,,,,,,,1,,,,2024-06-22_15h28.29.238,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-22 15h28.36.290939 +0200,
stimuli/train_4.jpg,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,15,15,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.19056249997811,,,,,,,,j,105.18625133298337,None,,,,,,,,,,,,1,,,,2024-06-22_15h28.29.238,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-22 15h28.36.290939 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,2024-06-22_15h28.29.238,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-22 15h28.36.290939 +0200,
stimuli/img_2pnl2.png,j,,0,0,0,1,0,0,1,categorization,1,2,31,274,bedrooms,bedrooms,target,None,6.621621621621622,7.135135135135135,6.878378378378379,37,1,1,1,1,1,1,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,30,,,,,114.337480666989,,,,,,,,,,,114.61020220798673,114.61020220798673,115.37607995799044,116.12409908301197,j,1,116.28073433297686,None,,,,1,,,,2024-06-22_15h28.29.238,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-22 15h28.36.290939 +0200,
stimuli/img_v8dra.png,j,,0,0,0,1,0,0,1,categorization,1,2,16,259,bedrooms,bedrooms,target,None,61.77272727272727,38.79545454545455,50.28409090909091,44,3,3,3,3,4,3,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,15,,,,,116.29588720796164,,,,,,,,,,,,,117.01648195798043,117.7580850420054,j,1,128.41462979197968,None,,,,1,,,,2024-06-22_15h28.29.238,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-22 15h28.36.290939 +0200,
stimuli/img_mucwi.png,f,,0,0,0,1,0,0,1,categorization,1,2,9,252,bedrooms,kitchens,distractor,None,71.14814814814815,48.55555555555556,59.85185185185185,27,5,5,5,5,5,5,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,8,,,,,128.42966995795723,,,,,,,,,,,,,128.83137904200703,129.5787532919785,j,0,129.56336012500105,None,,,,1,,,,2024-06-22_15h28.29.238,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-22 15h28.36.290939 +0200,
