stimulus,correct_answer,cat_training_trials.thisRepN,cat_training_trials.thisTrialN,cat_training_trials.thisN,cat_training_trials.thisIndex,thisRow.t,notes,instructions_cat_2.started,instructions_cat_2.stopped,cat_training_key.keys,cat_training_key.corr,cat_training_key.rt,cat_training_key.duration,participant,Alter,Geschlecht,Haendigkeit,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,1,,,,2024-06-22_14h18.29.145,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-22 14h18.37.966482 +0200,
,,,,,,,,,,,,,,1,,,,2024-06-22_14h18.29.145,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-22 14h18.37.966482 +0200,
,,,,,,,,,,,,,,1,,,,2024-06-22_14h18.29.145,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-22 14h18.37.966482 +0200,
,,,,,,,,,,,,,,1,,,,2024-06-22_14h18.29.145,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-22 14h18.37.966482 +0200,
,,,,,,,,,,,,,,1,,,,2024-06-22_14h18.29.145,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-22 14h18.37.966482 +0200,
,,,,,,,,15.483820165973157,16.067578583024442,,,,,1,,,,2024-06-22_14h18.29.145,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-22 14h18.37.966482 +0200,
,,,,,,,,,,,,,,1,,,,2024-06-22_14h18.29.145,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-22 14h18.37.966482 +0200,
stimuli/train_x6.jpg,f,0,0,0,21,18.577461957989726,,,,j,0,21.364526749996003,None,1,,,,2024-06-22_14h18.29.145,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-22 14h18.37.966482 +0200,
stimuli/train_10.jpg,j,0,1,1,9,22.37294600001769,,,,j,1,23.621183415991254,None,1,,,,2024-06-22_14h18.29.145,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-22 14h18.37.966482 +0200,
stimuli/train_8.jpg,j,0,2,2,7,24.63265375001356,,,,j,1,26.93775437498698,None,1,,,,2024-06-22_14h18.29.145,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-22 14h18.37.966482 +0200,
stimuli/train_x4.jpg,f,0,3,3,19,27.93938362499466,,,,j,0,30.470929083006922,None,1,,,,2024-06-22_14h18.29.145,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-22 14h18.37.966482 +0200,
stimuli/train_3.jpg,j,0,4,4,2,31.482800125028007,,,,j,1,33.50659154099412,None,1,,,,2024-06-22_14h18.29.145,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-22 14h18.37.966482 +0200,
stimuli/train_7.jpg,j,0,5,5,6,34.52287550002802,,,,j,1,36.42351008299738,None,1,,,,2024-06-22_14h18.29.145,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-22 14h18.37.966482 +0200,
stimuli/train_16.jpg,f,0,6,6,15,37.44099675002508,,,,j,0,39.20447699999204,None,1,,,,2024-06-22_14h18.29.145,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-22 14h18.37.966482 +0200,
,,,,,,40.21651362499688,,,,,,,,,,,,,,,,,
