stimulus,correct_answer,cat_training_trials.thisRepN,cat_training_trials.thisTrialN,cat_training_trials.thisN,cat_training_trials.thisIndex,thisRow.t,notes,instructions_cat_2.started,instructions_cat_2.stopped,cat_training_key.keys,cat_training_key.corr,cat_training_key.rt,cat_training_key.duration,participant,Alter,Geschlecht,Haendigkeit,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,1,,,,2024-06-22_14h16.04.495,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-22 14h16.11.730419 +0200,
,,,,,,,,,,,,,,1,,,,2024-06-22_14h16.04.495,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-22 14h16.11.730419 +0200,
,,,,,,,,,,,,,,1,,,,2024-06-22_14h16.04.495,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-22 14h16.11.730419 +0200,
,,,,,,,,,,,,,,1,,,,2024-06-22_14h16.04.495,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-22 14h16.11.730419 +0200,
,,,,,,,,,,,,,,1,,,,2024-06-22_14h16.04.495,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-22 14h16.11.730419 +0200,
,,,,,,,,7.708951625041664,10.085565874993335,,,,,1,,,,2024-06-22_14h16.04.495,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-22 14h16.11.730419 +0200,
,,,,,,,,,,,,,,1,,,,2024-06-22_14h16.04.495,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-22 14h16.11.730419 +0200,
stimuli/train_7.jpg,j,0,0,0,6,12.594938334019389,,,,j,1,16.436656000034418,None,1,,,,2024-06-22_14h16.04.495,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-22 14h16.11.730419 +0200,
stimuli/train_6.jpg,j,0,1,1,5,17.450061542040203,,,,j,1,20.559834917017724,None,1,,,,2024-06-22_14h16.04.495,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-22 14h16.11.730419 +0200,
stimuli/train_8.jpg,j,0,2,2,7,21.57354170898907,,,,j,1,24.585623334045522,None,1,,,,2024-06-22_14h16.04.495,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-22 14h16.11.730419 +0200,
stimuli/train_4.jpg,j,0,3,3,3,25.59084891702514,,,,j,1,27.469347625039518,None,1,,,,2024-06-22_14h16.04.495,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-22 14h16.11.730419 +0200,
stimuli/train_5.jpg,j,0,4,4,4,28.473858417011797,,,,j,1,30.503716542036273,None,1,,,,2024-06-22_14h16.04.495,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-22 14h16.11.730419 +0200,
stimuli/train_x1.jpg,f,0,5,5,16,31.507274042000063,,,,j,0,36.20302579202689,None,1,,,,2024-06-22_14h16.04.495,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-22 14h16.11.730419 +0200,
stimuli/train_x9.jpg,f,0,6,6,24,37.21791812503943,,,,j,0,39.863651041989215,None,1,,,,2024-06-22_14h16.04.495,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-22 14h16.11.730419 +0200,
stimuli/train_x2.jpg,f,0,7,7,17,40.874283500015736,,,,f,1,49.66545141703682,None,1,,,,2024-06-22_14h16.04.495,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-22 14h16.11.730419 +0200,
stimuli/train_x4.jpg,f,0,8,8,19,50.67500966700027,,,,f,1,52.67112504201941,None,1,,,,2024-06-22_14h16.04.495,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-22 14h16.11.730419 +0200,
stimuli/train_10.jpg,j,0,9,9,9,53.675111459044274,,,,f,0,55.396096875017975,None,1,,,,2024-06-22_14h16.04.495,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-22 14h16.11.730419 +0200,
stimuli/train_x3.jpg,f,0,10,10,18,56.40845145902131,,,,f,1,57.89009191701189,None,1,,,,2024-06-22_14h16.04.495,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-22 14h16.11.730419 +0200,
stimuli/train_9.jpg,j,0,11,11,8,58.89210383401951,,,,f,0,60.9473321250407,None,1,,,,2024-06-22_14h16.04.495,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-22 14h16.11.730419 +0200,
,,,,,,61.958798167004716,,,,,,,,,,,,,,,,,
