stimulus,correct_answer,correct_1,cat_training_trials.thisRepN,cat_training_trials.thisTrialN,cat_training_trials.thisN,cat_training_trials.thisIndex,memo_training_trials.thisRepN,memo_training_trials.thisTrialN,memo_training_trials.thisN,memo_training_trials.thisIndex,categorization_trials.thisRepN,categorization_trials.thisTrialN,categorization_trials.thisN,categorization_trials.thisIndex,kitchens_1,kitchens_2,bedrooms_1,bedrooms_2,living_rooms_1,living_rooms_2,kitchen_a_categorization_trials.thisRepN,kitchen_a_categorization_trials.thisTrialN,kitchen_a_categorization_trials.thisN,kitchen_a_categorization_trials.thisIndex,kitchen_a_memotest.thisRepN,kitchen_a_memotest.thisTrialN,kitchen_a_memotest.thisN,kitchen_a_memotest.thisIndex,kitchen_b_categorization_trials.thisRepN,kitchen_b_categorization_trials.thisTrialN,kitchen_b_categorization_trials.thisN,kitchen_b_categorization_trials.thisIndex,kitchen_b_memotest.thisRepN,kitchen_b_memotest.thisTrialN,kitchen_b_memotest.thisN,kitchen_b_memotest.thisIndex,living_a_categorization_trials.thisRepN,living_a_categorization_trials.thisTrialN,living_a_categorization_trials.thisN,living_a_categorization_trials.thisIndex,living_a_memotest.thisRepN,living_a_memotest.thisTrialN,living_a_memotest.thisN,living_a_memotest.thisIndex,living_b_categorization_trials.thisRepN,living_b_categorization_trials.thisTrialN,living_b_categorization_trials.thisN,living_b_categorization_trials.thisIndex,living_b_memotest.thisRepN,living_b_memotest.thisTrialN,living_b_memotest.thisN,living_b_memotest.thisIndex,bed_a_categorization_trials.thisRepN,bed_a_categorization_trials.thisTrialN,bed_a_categorization_trials.thisN,bed_a_categorization_trials.thisIndex,subject_id,task,block_total,block_scene,trial_block,trial_total,target_cat,category,cond_cat,cond_mem,conceptual,perceptual,typicality,n,p_typicality,p_conceptual,p_perceptual,r_typicality,r_conceptual,r_perceptual,thisRow.t,notes,instructions_cat_2.started,instructions_cat_2.stopped,cat_training_key.keys,cat_training_key.corr,cat_training_key.rt,cat_training_key.duration,memo_training_slider_key_resp.keys,memo_training_slider_key_resp.rt,memo_training_slider_key_resp.duration,participant,Alter,Geschlecht,Haendigkeit,date,expName,psychopyVersion,frameRate,expStart,
stimuli/train_7.jpg,j,,0,5,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.225043583021034,,,,j,1,26.542888083000435,None,,,,100,,,,2024-06-14_13h47.03.538,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-14 13h47.11.372041 +0200,
stimuli/train_13.jpg,f,,0,6,6,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.556261332996655,,,,j,0,29.69059345801361,None,,,,100,,,,2024-06-14_13h47.03.538,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-14 13h47.11.372041 +0200,
stimuli/train_16.jpg,f,,0,7,7,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.706622375000734,,,,j,0,32.264749708003365,None,,,,100,,,,2024-06-14_13h47.03.538,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-14 13h47.11.372041 +0200,
stimuli/train_11.jpg,j,,0,8,8,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.35695450002095,,,,j,1,35.680989375017816,None,,,,100,,,,2024-06-14_13h47.03.538,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-14 13h47.11.372041 +0200,
stimuli/train_1.jpg,j,,0,9,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.690115250006784,,,,j,1,38.552561125019565,None,,,,100,,,,2024-06-14_13h47.03.538,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-14 13h47.11.372041 +0200,
stimuli/train_5.jpg,j,,0,10,10,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.556872540997574,,,,j,1,41.67333000001963,None,,,,100,,,,2024-06-14_13h47.03.538,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-14 13h47.11.372041 +0200,
stimuli/train_10.jpg,j,,0,11,11,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.67399637500057,,,,j,1,44.18766962501104,None,,,,100,,,,2024-06-14_13h47.03.538,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-14 13h47.11.372041 +0200,
stimuli/train_3.jpg,j,,0,12,12,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.1907948750013,,,,j,1,46.98068454102031,None,,,,100,,,,2024-06-14_13h47.03.538,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-14 13h47.11.372041 +0200,
stimuli/train_6.jpg,j,,0,13,13,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.99086329102283,,,,j,1,49.569643499999074,None,,,,100,,,,2024-06-14_13h47.03.538,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-14 13h47.11.372041 +0200,
stimuli/train_12.jpg,j,,0,14,14,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.574010291020386,,,,j,1,52.421964708017185,None,,,,100,,,,2024-06-14_13h47.03.538,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-14 13h47.11.372041 +0200,
