stimulus,correct_answer,correct_1,kitchens_1,kitchens_2,bedrooms_1,bedrooms_2,living_rooms_1,living_rooms_2,subject_id,task,block_total,block_scene,trial_block,trial_total,target_cat,category,cond_cat,cond_mem,conceptual,perceptual,typicality,n,p_typicality,p_conceptual,p_perceptual,r_typicality,r_conceptual,r_perceptual,cat_training_trials.thisRepN,cat_training_trials.thisTrialN,cat_training_trials.thisN,cat_training_trials.thisIndex,memo_training_trials.thisRepN,memo_training_trials.thisTrialN,memo_training_trials.thisN,memo_training_trials.thisIndex,categorization_trials.thisRepN,categorization_trials.thisTrialN,categorization_trials.thisN,categorization_trials.thisIndex,kitchen_a_categorization_trials.thisRepN,kitchen_a_categorization_trials.thisTrialN,kitchen_a_categorization_trials.thisN,kitchen_a_categorization_trials.thisIndex,kitchen_a_memotest.thisRepN,kitchen_a_memotest.thisTrialN,kitchen_a_memotest.thisN,kitchen_a_memotest.thisIndex,kitchen_b_categorization_trials.thisRepN,kitchen_b_categorization_trials.thisTrialN,kitchen_b_categorization_trials.thisN,kitchen_b_categorization_trials.thisIndex,kitchen_b_memotest.thisRepN,kitchen_b_memotest.thisTrialN,kitchen_b_memotest.thisN,kitchen_b_memotest.thisIndex,living_a_categorization_trials.thisRepN,living_a_categorization_trials.thisTrialN,living_a_categorization_trials.thisN,living_a_categorization_trials.thisIndex,living_a_memotest.thisRepN,living_a_memotest.thisTrialN,living_a_memotest.thisN,living_a_memotest.thisIndex,living_b_categorization_trials.thisRepN,living_b_categorization_trials.thisTrialN,living_b_categorization_trials.thisN,living_b_categorization_trials.thisIndex,living_b_memotest.thisRepN,living_b_memotest.thisTrialN,living_b_memotest.thisN,living_b_memotest.thisIndex,bed_a_categorization_trials.thisRepN,bed_a_categorization_trials.thisTrialN,bed_a_categorization_trials.thisN,bed_a_categorization_trials.thisIndex,bed_a_memotest.thisRepN,bed_a_memotest.thisTrialN,bed_a_memotest.thisN,bed_a_memotest.thisIndex,bed_b_categorization_trials.thisRepN,bed_b_categorization_trials.thisTrialN,bed_b_categorization_trials.thisN,bed_b_categorization_trials.thisIndex,bed_b_memotest.thisRepN,bed_b_memotest.thisTrialN,bed_b_memotest.thisN,bed_b_memotest.thisIndex,thisRow.t,notes,instructions_cat_2.started,instructions_cat_2.stopped,cat_training_key.keys,cat_training_key.corr,cat_training_key.rt,cat_training_key.duration,memo_training_slider_key_resp.keys,memo_training_slider_key_resp.rt,memo_training_slider_key_resp.duration,bed_b_text_2.started,bed_b_block_no.started,bed_picture_image.started,bed_picture_resp.keys,bed_picture_resp.corr,bed_picture_resp.rt,bed_picture_resp.duration,bed_picture_image.stopped,memotest_task_slider_key_resp.keys,memotest_task_slider_key_resp.rt,memotest_task_slider_key_resp.duration,participant,Alter,Geschlecht,Haendigkeit,date,expName,psychopyVersion,frameRate,expStart,
stimuli/train_11.jpg,j,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,3,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.028292166010942,,,,j,1,18.89922804100206,None,,,,,,,,,,,,,,,1,,,,2024-06-22_15h08.17.369,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-22 15h08.23.986264 +0200,
stimuli/train_13.jpg,f,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,4,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.901738749991637,,,,j,0,20.987500790972263,None,,,,,,,,,,,,,,,1,,,,2024-06-22_15h08.17.369,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-22 15h08.23.986264 +0200,
stimuli/train_16.jpg,f,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5,5,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.002717415976804,,,,j,0,22.408481332997326,None,,,,,,,,,,,,,,,1,,,,2024-06-22_15h08.17.369,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-22 15h08.23.986264 +0200,
stimuli/train_9.jpg,j,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,6,6,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.419747375010047,,,,j,1,24.21367204101989,None,,,,,,,,,,,,,,,1,,,,2024-06-22_15h08.17.369,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-22 15h08.23.986264 +0200,
stimuli/train_7.jpg,j,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,7,7,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.22855591599364,,,,j,1,26.130701957968995,None,,,,,,,,,,,,,,,1,,,,2024-06-22_15h08.17.369,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-22 15h08.23.986264 +0200,
stimuli/train_x3.jpg,f,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,8,8,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.13616908300901,,,,j,0,27.960172040970065,None,,,,,,,,,,,,,,,1,,,,2024-06-22_15h08.17.369,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-22 15h08.23.986264 +0200,
stimuli/train_8.jpg,j,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,9,9,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.995303832984064,,,,j,1,29.58513750002021,None,,,,,,,,,,,,,,,1,,,,2024-06-22_15h08.17.369,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-22 15h08.23.986264 +0200,
stimuli/train_2.jpg,j,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,10,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.612026582995895,,,,j,1,31.09811650001211,None,,,,,,,,,,,,,,,1,,,,2024-06-22_15h08.17.369,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-22 15h08.23.986264 +0200,
stimuli/train_x5.jpg,f,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,11,11,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.103449999995064,,,,j,0,32.9637929580058,None,,,,,,,,,,,,,,,1,,,,2024-06-22_15h08.17.369,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-22 15h08.23.986264 +0200,
stimuli/train_15.jpg,f,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,12,12,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.97888129099738,,,,j,0,34.16089708299842,None,,,,,,,,,,,,,,,1,,,,2024-06-22_15h08.17.369,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-22 15h08.23.986264 +0200,
stimuli/train_x8.jpg,f,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,13,13,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.18638645799365,,,,j,0,35.425366375013255,None,,,,,,,,,,,,,,,1,,,,2024-06-22_15h08.17.369,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-22 15h08.23.986264 +0200,
stimuli/train_x6.jpg,f,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,14,14,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.479248165967874,,,,j,0,None,None,,,,,,,,,,,,,,,1,,,,2024-06-22_15h08.17.369,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-22 15h08.23.986264 +0200,
stimuli/train_x1.jpg,f,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,15,15,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.086853875021916,,,,j,0,39.109276166011114,None,,,,,,,,,,,,,,,1,,,,2024-06-22_15h08.17.369,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-22 15h08.23.986264 +0200,
stimuli/train_4.jpg,j,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,16,16,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.120331083016936,,,,j,1,40.70894258300541,None,,,,,,,,,,,,,,,1,,,,2024-06-22_15h08.17.369,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-22 15h08.23.986264 +0200,
stimuli/train_x2.jpg,f,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,17,17,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.787004915997386,,,,j,0,42.36910495796474,None,,,,,,,,,,,,,,,1,,,,2024-06-22_15h08.17.369,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-22 15h08.23.986264 +0200,
stimuli/train_x7.jpg,f,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,18,18,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.48750383302104,,,,j,0,44.24885266600177,None,,,,,,,,,,,,,,,1,,,,2024-06-22_15h08.17.369,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-22 15h08.23.986264 +0200,
stimuli/train_5.jpg,j,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,19,19,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.25559829099802,,,,j,1,45.549550457973965,None,,,,,,,,,,,,,,,1,,,,2024-06-22_15h08.17.369,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-22 15h08.23.986264 +0200,
stimuli/train_12.jpg,j,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,20,20,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.569901666021906,,,,j,1,47.02674833300989,None,,,,,,,,,,,,,,,1,,,,2024-06-22_15h08.17.369,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-22 15h08.23.986264 +0200,
stimuli/train_6.jpg,j,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,21,21,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.07951737497933,,,,j,1,48.46515750000253,None,,,,,,,,,,,,,,,1,,,,2024-06-22_15h08.17.369,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-22 15h08.23.986264 +0200,
stimuli/train_3.jpg,j,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,22,22,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.52943979098927,,,,j,1,50.57164112501778,None,,,,,,,,,,,,,,,1,,,,2024-06-22_15h08.17.369,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-22 15h08.23.986264 +0200,
stimuli/train_x9.jpg,f,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,23,23,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.5809679160011,,,,j,0,52.6857972079888,None,,,,,,,,,,,,,,,1,,,,2024-06-22_15h08.17.369,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-22 15h08.23.986264 +0200,
