stimulus,correct_answer,cat_training_trials.thisRepN,cat_training_trials.thisTrialN,cat_training_trials.thisN,cat_training_trials.thisIndex,memo_training_trials.thisRepN,memo_training_trials.thisTrialN,memo_training_trials.thisN,memo_training_trials.thisIndex,correct_1,thisRow.t,notes,instructions_cat_2.started,instructions_cat_2.stopped,cat_training_key.keys,cat_training_key.corr,cat_training_key.rt,cat_training_key.duration,participant,Alter,Geschlecht,Haendigkeit,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,1,,,,2024-06-22_15h18.00.106,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-22 15h18.08.082413 +0200,
,,,,,,,,,,,,,,,,,,,1,,,,2024-06-22_15h18.00.106,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-22 15h18.08.082413 +0200,
,,,,,,,,,,,,,,,,,,,1,,,,2024-06-22_15h18.00.106,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-22 15h18.08.082413 +0200,
,,,,,,,,,,,,,,,,,,,1,,,,2024-06-22_15h18.00.106,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-22 15h18.08.082413 +0200,
,,,,,,,,,,,,,,,,,,,1,,,,2024-06-22_15h18.00.106,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-22 15h18.08.082413 +0200,
,,,,,,,,,,,,,4.972073417040519,5.556839833036065,,,,,1,,,,2024-06-22_15h18.00.106,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-22 15h18.08.082413 +0200,
,,,,,,,,,,,,,,,,,,,1,,,,2024-06-22_15h18.00.106,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-22 15h18.08.082413 +0200,
stimuli/train_x9.jpg,f,0,0,0,24,,,,,,8.051848708011676,,,,j,0,8.440912500023842,None,1,,,,2024-06-22_15h18.00.106,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-22 15h18.08.082413 +0200,
stimuli/train_x6.jpg,f,0,1,1,21,,,,,,9.461755333002657,,,,j,0,10.457757583004422,None,1,,,,2024-06-22_15h18.00.106,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-22 15h18.08.082413 +0200,
stimuli/train_4.jpg,j,0,2,2,3,,,,,,11.471207208000124,,,,j,1,11.873106583021581,None,1,,,,2024-06-22_15h18.00.106,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-22 15h18.08.082413 +0200,
stimuli/train_10.jpg,j,0,3,3,9,,,,,,12.928149042010773,,,,j,1,13.54580491699744,None,1,,,,2024-06-22_15h18.00.106,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-22 15h18.08.082413 +0200,
stimuli/train_1.jpg,j,0,4,4,0,,,,,,14.595747083018068,,,,j,1,15.352005167049356,None,1,,,,2024-06-22_15h18.00.106,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-22 15h18.08.082413 +0200,
stimuli/train_8.jpg,j,0,5,5,7,,,,,,16.428963292040862,,,,j,1,16.86821250000503,None,1,,,,2024-06-22_15h18.00.106,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-22 15h18.08.082413 +0200,
stimuli/train_x5.jpg,f,0,6,6,20,,,,,,17.878574833041057,,,,j,0,18.465477833000477,None,1,,,,2024-06-22_15h18.00.106,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-22 15h18.08.082413 +0200,
stimuli/train_15.jpg,f,0,7,7,14,,,,,,19.4793990420294,,,,j,0,20.122951208031736,None,1,,,,2024-06-22_15h18.00.106,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-22 15h18.08.082413 +0200,
stimuli/train_x8.jpg,f,0,8,8,23,,,,,,21.204591250047088,,,,j,0,22.090311750012916,None,1,,,,2024-06-22_15h18.00.106,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-22 15h18.08.082413 +0200,
stimuli/train_x7.jpg,f,0,9,9,22,,,,,,23.179133083031047,,,,j,0,23.836130375042558,None,1,,,,2024-06-22_15h18.00.106,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-22 15h18.08.082413 +0200,
stimuli/train_x3.jpg,f,0,10,10,18,,,,,,24.838620833004825,,,,j,0,25.60728083300637,None,1,,,,2024-06-22_15h18.00.106,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-22 15h18.08.082413 +0200,
stimuli/train_x1.jpg,f,0,11,11,16,,,,,,26.612734500027727,,,,j,0,27.432101875019725,None,1,,,,2024-06-22_15h18.00.106,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-22 15h18.08.082413 +0200,
stimuli/train_x4.jpg,f,0,12,12,19,,,,,,28.454789042007178,,,,j,0,28.88964087504428,None,1,,,,2024-06-22_15h18.00.106,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-22 15h18.08.082413 +0200,
stimuli/train_3.jpg,j,0,13,13,2,,,,,,29.896001125045586,,,,j,1,30.79894383304054,None,1,,,,2024-06-22_15h18.00.106,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-22 15h18.08.082413 +0200,
