stimulus,correct_answer,correct_1,cat_training_trials.thisRepN,cat_training_trials.thisTrialN,cat_training_trials.thisN,cat_training_trials.thisIndex,memo_training_trials.thisRepN,memo_training_trials.thisTrialN,memo_training_trials.thisN,memo_training_trials.thisIndex,thisRow.t,notes,instructions_cat_2.started,instructions_cat_2.stopped,cat_training_key.keys,cat_training_key.corr,cat_training_key.rt,cat_training_key.duration,memo_training_slider_key_resp.keys,memo_training_slider_key_resp.rt,memo_training_slider_key_resp.duration,participant,Alter,Geschlecht,Haendigkeit,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,1,,,,2024-05-15_16h53.19.452,SceneCat_2023_2_key_resp,2024.1.1,None,2024-05-15 16h53.26.280312 +0200,
,,,,,,,,,,,,,,,,,,,,,,1,,,,2024-05-15_16h53.19.452,SceneCat_2023_2_key_resp,2024.1.1,None,2024-05-15 16h53.26.280312 +0200,
,,,,,,,,,,,,,,,,,,,,,,1,,,,2024-05-15_16h53.19.452,SceneCat_2023_2_key_resp,2024.1.1,None,2024-05-15 16h53.26.280312 +0200,
,,,,,,,,,,,,,,,,,,,,,,1,,,,2024-05-15_16h53.19.452,SceneCat_2023_2_key_resp,2024.1.1,None,2024-05-15 16h53.26.280312 +0200,
,,,,,,,,,,,,,,,,,,,,,,1,,,,2024-05-15_16h53.19.452,SceneCat_2023_2_key_resp,2024.1.1,None,2024-05-15 16h53.26.280312 +0200,
,,,,,,,,,,,,,79.6006278750001,80.91471195800023,,,,,,,,1,,,,2024-05-15_16h53.19.452,SceneCat_2023_2_key_resp,2024.1.1,None,2024-05-15 16h53.26.280312 +0200,
,,,,,,,,,,,,,,,,,,,,,,1,,,,2024-05-15_16h53.19.452,SceneCat_2023_2_key_resp,2024.1.1,None,2024-05-15 16h53.26.280312 +0200,
stimuli/fvbjgv.jpg,f,,0,0,0,1,,,,,83.43225504200018,,,,f,1,84.99071679200006,None,,,,1,,,,2024-05-15_16h53.19.452,SceneCat_2023_2_key_resp,2024.1.1,None,2024-05-15 16h53.26.280312 +0200,
stimuli/hhhh.jpg,f,,0,1,1,9,,,,,86.0054292499999,,,,f,1,87.48958187500011,None,,,,1,,,,2024-05-15_16h53.19.452,SceneCat_2023_2_key_resp,2024.1.1,None,2024-05-15 16h53.26.280312 +0200,
stimuli/uhnnfhj.jpg,j,,0,2,2,12,,,,,88.49626566700044,,,,f,0,90.36209362499994,None,,,,1,,,,2024-05-15_16h53.19.452,SceneCat_2023_2_key_resp,2024.1.1,None,2024-05-15 16h53.26.280312 +0200,
stimuli/oelkjhgfcfghjk.jpg,f,,0,3,3,2,,,,,91.37315945800037,,,,f,1,92.67396216700035,None,,,,1,,,,2024-05-15_16h53.19.452,SceneCat_2023_2_key_resp,2024.1.1,None,2024-05-15 16h53.26.280312 +0200,
stimuli/sdfghjklkjbv.jpg,f,,0,4,4,5,,,,,93.69599666700014,,,,f,1,95.45231937500012,None,,,,1,,,,2024-05-15_16h53.19.452,SceneCat_2023_2_key_resp,2024.1.1,None,2024-05-15 16h53.26.280312 +0200,
stimuli/ihnbvcfgd.jpg,f,,0,5,5,6,,,,,96.46382083299977,,,,f,1,98.17393412500041,None,,,,1,,,,2024-05-15_16h53.19.452,SceneCat_2023_2_key_resp,2024.1.1,None,2024-05-15 16h53.26.280312 +0200,
stimuli/asdfghjkloelkjhg.jpg,f,,0,6,6,4,,,,,99.1963081670001,,,,f,1,100.86460308300047,None,,,,1,,,,2024-05-15_16h53.19.452,SceneCat_2023_2_key_resp,2024.1.1,None,2024-05-15 16h53.26.280312 +0200,
stimuli/zgfdetz.jpg,j,,0,7,7,15,,,,,101.88027212500037,,,,f,0,103.3990521249998,None,,,,1,,,,2024-05-15_16h53.19.452,SceneCat_2023_2_key_resp,2024.1.1,None,2024-05-15 16h53.26.280312 +0200,
stimuli/erthjnbvcfg.jpg,f,,0,8,8,11,,,,,104.41390275000049,,,,f,1,106.80266308299997,None,,,,1,,,,2024-05-15_16h53.19.452,SceneCat_2023_2_key_resp,2024.1.1,None,2024-05-15 16h53.26.280312 +0200,
stimuli/ztfcvbnhg.jpg,f,,0,9,9,0,,,,,107.81276562499988,,,,f,1,109.55374412499987,None,,,,1,,,,2024-05-15_16h53.19.452,SceneCat_2023_2_key_resp,2024.1.1,None,2024-05-15 16h53.26.280312 +0200,
stimuli/lituryeyxcfvghjk.jpg,f,,0,10,10,7,,,,,110.56356787500044,,,,f,1,112.39817179200054,None,,,,1,,,,2024-05-15_16h53.19.452,SceneCat_2023_2_key_resp,2024.1.1,None,2024-05-15 16h53.26.280312 +0200,
stimuli/uzgfvbnh.jpg,j,,0,11,11,14,,,,,113.40666150000015,,,,f,0,115.59927591700034,None,,,,1,,,,2024-05-15_16h53.19.452,SceneCat_2023_2_key_resp,2024.1.1,None,2024-05-15 16h53.26.280312 +0200,
stimuli/khfp.jpg,f,,0,12,12,8,,,,,116.61356925000018,,,,f,1,118.36139520800043,None,,,,1,,,,2024-05-15_16h53.19.452,SceneCat_2023_2_key_resp,2024.1.1,None,2024-05-15 16h53.26.280312 +0200,
stimuli/gfvbnbg.jpg,j,,0,13,13,13,,,,,119.37295925000035,,,,f,0,121.43250175000048,None,,,,1,,,,2024-05-15_16h53.19.452,SceneCat_2023_2_key_resp,2024.1.1,None,2024-05-15 16h53.26.280312 +0200,
stimuli/asdfghertghvgh.jpg,f,,0,14,14,10,,,,,122.44692974999998,,,,f,1,123.99829408300047,None,,,,1,,,,2024-05-15_16h53.19.452,SceneCat_2023_2_key_resp,2024.1.1,None,2024-05-15 16h53.26.280312 +0200,
stimuli/lkjhgfdxsdfghj.jpg,f,,0,15,15,3,,,,,125.01346550000017,,,,f,1,126.58097550000002,None,,,,1,,,,2024-05-15_16h53.19.452,SceneCat_2023_2_key_resp,2024.1.1,None,2024-05-15 16h53.26.280312 +0200,
,,,,,,,,,,,,,,,,,,,,,,1,,,,2024-05-15_16h53.19.452,SceneCat_2023_2_key_resp,2024.1.1,None,2024-05-15 16h53.26.280312 +0200,
stimuli/ihnbvcfgd.jpg,,1,,,,,0,0,0,6,129.1940983330005,,,,,,,,k,133.26466875000006,None,1,,,,2024-05-15_16h53.19.452,SceneCat_2023_2_key_resp,2024.1.1,None,2024-05-15 16h53.26.280312 +0200,
stimuli/sdfghjklkjbv.jpg,,1,,,,,0,1,1,5,134.7808947499998,,,,,,,,k,137.7663303750005,None,1,,,,2024-05-15_16h53.19.452,SceneCat_2023_2_key_resp,2024.1.1,None,2024-05-15 16h53.26.280312 +0200,
,,,,,,,,,,,139.2635951250004,,,,,,,,k,141.49932962500043,None,,,,,,,,,,
