stimulus,correct_answer,correct_1,living_rooms_1,bedrooms_1,living_rooms_2,kitchens_1,kitchens_2,bedrooms_2,subject_id,task,block_total,block_scene,trial_block,trial_total,target_cat,category,cond_cat,cond_mem,conceptual,perceptual,typicality,n,p_typicality,p_conceptual,p_perceptual,r_typicality,r_conceptual,r_perceptual,cat_training_trials.thisRepN,cat_training_trials.thisTrialN,cat_training_trials.thisN,cat_training_trials.thisIndex,memo_training_trials.thisRepN,memo_training_trials.thisTrialN,memo_training_trials.thisN,memo_training_trials.thisIndex,categorization_trials.thisRepN,categorization_trials.thisTrialN,categorization_trials.thisN,categorization_trials.thisIndex,kitchen_a_categorization_trials.thisRepN,kitchen_a_categorization_trials.thisTrialN,kitchen_a_categorization_trials.thisN,kitchen_a_categorization_trials.thisIndex,kitchen_a_memotest.thisRepN,kitchen_a_memotest.thisTrialN,kitchen_a_memotest.thisN,kitchen_a_memotest.thisIndex,kitchen_b_categorization_trials.thisRepN,kitchen_b_categorization_trials.thisTrialN,kitchen_b_categorization_trials.thisN,kitchen_b_categorization_trials.thisIndex,kitchen_b_memotest.thisRepN,kitchen_b_memotest.thisTrialN,kitchen_b_memotest.thisN,kitchen_b_memotest.thisIndex,living_a_categorization_trials.thisRepN,living_a_categorization_trials.thisTrialN,living_a_categorization_trials.thisN,living_a_categorization_trials.thisIndex,living_a_memotest.thisRepN,living_a_memotest.thisTrialN,living_a_memotest.thisN,living_a_memotest.thisIndex,living_b_categorization_trials.thisRepN,living_b_categorization_trials.thisTrialN,living_b_categorization_trials.thisN,living_b_categorization_trials.thisIndex,living_b_memotest.thisRepN,living_b_memotest.thisTrialN,living_b_memotest.thisN,living_b_memotest.thisIndex,bed_a_categorization_trials.thisRepN,bed_a_categorization_trials.thisTrialN,bed_a_categorization_trials.thisN,bed_a_categorization_trials.thisIndex,bed_a_memotest.thisRepN,bed_a_memotest.thisTrialN,bed_a_memotest.thisN,bed_a_memotest.thisIndex,bed_b_categorization_trials.thisRepN,bed_b_categorization_trials.thisTrialN,bed_b_categorization_trials.thisN,bed_b_categorization_trials.thisIndex,bed_b_memotest.thisRepN,bed_b_memotest.thisTrialN,bed_b_memotest.thisN,bed_b_memotest.thisIndex,thisRow.t,notes,instructions_cat_2.started,instructions_cat_2.stopped,cat_training_key.keys,cat_training_key.corr,cat_training_key.rt,cat_training_key.duration,memo_training_slider_key_resp.keys,memo_training_slider_key_resp.rt,memo_training_slider_key_resp.duration,bed_b_text_2.started,bed_b_block_no.started,bed_picture_image.started,bed_picture_resp.keys,bed_picture_resp.corr,bed_picture_resp.rt,bed_picture_resp.duration,bed_picture_image.stopped,memotest_task_slider_key_resp.keys,memotest_task_slider_key_resp.rt,memotest_task_slider_key_resp.duration,kitchen_fix.started,participant,Alter,Geschlecht,Haendigkeit,date,expName,psychopyVersion,frameRate,expStart,
stimuli/train_8.jpg,j,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,3,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.93717733299127,,,,j,1,22.722521332965698,None,,,,,,,,,,,,,,,,30,,,,2024-06-18_12h53.53.831,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-18 12h54.06.439158 +0200,
stimuli/train_2.jpg,j,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.7279214579612,,,,j,1,25.163848500000313,None,,,,,,,,,,,,,,,,30,,,,2024-06-18_12h53.53.831,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-18 12h54.06.439158 +0200,
stimuli/train_15.jpg,f,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5,5,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.17758066696115,,,,j,0,27.64069504197687,None,,,,,,,,,,,,,,,,30,,,,2024-06-18_12h53.53.831,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-18 12h54.06.439158 +0200,
stimuli/train_3.jpg,j,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,6,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.71125849999953,,,,j,1,31.072047791967634,None,,,,,,,,,,,,,,,,30,,,,2024-06-18_12h53.53.831,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-18 12h54.06.439158 +0200,
stimuli/train_4.jpg,j,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,7,7,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.09465924999677,,,,j,1,34.26734183297958,None,,,,,,,,,,,,,,,,30,,,,2024-06-18_12h53.53.831,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-18 12h54.06.439158 +0200,
stimuli/train_7.jpg,j,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,8,8,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.27795983297983,,,,j,1,37.43524791696109,None,,,,,,,,,,,,,,,,30,,,,2024-06-18_12h53.53.831,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-18 12h54.06.439158 +0200,
stimuli/train_12.jpg,j,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,9,9,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.445089041953906,,,,j,1,45.75782941700891,None,,,,,,,,,,,,,,,,30,,,,2024-06-18_12h53.53.831,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-18 12h54.06.439158 +0200,
stimuli/train_14.jpg,f,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,10,10,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.761832874966785,,,,j,0,53.67778841697145,None,,,,,,,,,,,,,,,,30,,,,2024-06-18_12h53.53.831,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-18 12h54.06.439158 +0200,
stimuli/train_11.jpg,j,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,11,11,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.68873762496514,,,,j,1,56.011114957975224,None,,,,,,,,,,,,,,,,30,,,,2024-06-18_12h53.53.831,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-18 12h54.06.439158 +0200,
stimuli/train_10.jpg,j,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,12,12,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.21220916695893,,,,j,1,58.57652908295859,None,,,,,,,,,,,,,,,,30,,,,2024-06-18_12h53.53.831,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-18 12h54.06.439158 +0200,
